namespace,name,category,status,expected_type,default_value,constraints,effect_role,remarks,source_paths,source_inventory
CONTROL,livevis_control.kv:liveGridNy,Clé fichier contrôle livevis / filtered recording,ajout 0432a,entier >= 16,initialisé depuis SRC_LIVE_VIS_NY/MPCD_LIVE_VIS_NY ou 80,>=16,Change la résolution Y de la grille livevis/recording pendant la preview.,"Si recordEnable=true, le changement de grille est ignoré jusqu’à arrêt de session; le recorder verrouille la valeur au démarrage.",doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:particleTypeFilter,Clé fichier contrôle livevis / filtrage par type de particule,ajout 0436; reset affichage 0436b,entier,-1,-1=all; 0=type0; 1=type1; 2=type2; autres valeurs entières possibles si types étendus,"Filtre les particules avant accumulation livevis: rho/N/ux/uy/speed/vorticity, quiver CPU, et dumps filtrés 0432.","Visualisation/enregistrement uniquement: aucune modification solveur, collision, CL, resampling, Q6 ou viriel. Sur chemin CUDA live field, particleTypeFilter>=0 bascule vers un calcul compatible CPU/fallback pour préserver la sélection par type.",include/cuda_live_field_0337.h;scripts/run_0434_injection_type1_into_type2.sh;src/cuda_live_field_0337.cu;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp;src/live_visualization_0335.h;src/main_src_mpcd_base.cpp,session_0436_particle_type_filter_livevis
CONTROL,livevis_control.kv:quiverMinSpeed,Clé fichier contrôle livevis,ajout 0364,double >= 0,0,,Change à chaud le seuil minimal de vitesse pour dessiner les segments.,,doc/livevis_field_N_0361.md;doc/livevis_field_minmax_0363.md;doc/livevis_quiver_overlay_0364.md;doc/livevis_quiver_smoothing_0365.md;include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,session_0361_0365_livevis
CONTROL,livevis_control.kv:quiverNx,Clé fichier contrôle livevis,ajout 0364,entier >= 1,60,,Change à chaud le nombre de colonnes de la grille quiver.,,doc/livevis_field_N_0361.md;doc/livevis_field_minmax_0363.md;doc/livevis_quiver_overlay_0364.md;doc/livevis_quiver_smoothing_0365.md;include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,session_0361_0365_livevis
CONTROL,livevis_control.kv:quiverNy,Clé fichier contrôle livevis,ajout 0364,entier >= 1,32,,Change à chaud le nombre de lignes de la grille quiver.,,doc/livevis_field_N_0361.md;doc/livevis_field_minmax_0363.md;doc/livevis_quiver_overlay_0364.md;doc/livevis_quiver_smoothing_0365.md;include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,session_0361_0365_livevis
CONTROL,livevis_control.kv:quiverScale,Clé fichier contrôle livevis,ajout 0364,double,-1,,Change à chaud le gain manuel des segments vitesse.,<0 désactive l’overlay; >=0 l’active.,doc/livevis_field_N_0361.md;doc/livevis_field_minmax_0363.md;doc/livevis_quiver_overlay_0364.md;doc/livevis_quiver_smoothing_0365.md;include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,session_0361_0365_livevis
CONTROL,livevis_control.kv:quiverSmoothPasses,Clé fichier contrôle livevis,ajout 0365,entier; -1 ou >=0,-1,,Change à chaud le lissage des vecteurs quiver.,<0 réutilise smoothPasses; utile pour field=N non lissé avec vecteurs lissés.,doc/livevis_field_N_0361.md;doc/livevis_field_minmax_0363.md;doc/livevis_quiver_overlay_0364.md;doc/livevis_quiver_smoothing_0365.md;include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,session_0361_0365_livevis
CONTROL,livevis_control.kv:recordEnable,Clé fichier contrôle livevis / filtered recording,ajout 0432a,booléen/truthy,false,"true/false, 1/0, yes/no, on/off",Déclenche le démarrage/arrêt d’une session de dumps filtrés.,N’a d’effet que si MPCD_FILTERED_FIELD_RECORDING_0432 ou SRC_FILTERED_FIELD_RECORDING_0432 est activé dans l’environnement.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:recordEvery,Clé fichier contrôle livevis / filtered recording,ajout 0432a | mis à jour 0433a,entier; absent ou <=0 suit liveEvery; >0 override expert,suit liveEvery,absent ou <=0 -> recordEvery=liveEvery; >0 -> override explicite; verrouillé pendant la session,Cadence d’écriture des fichiers de champs filtrés; par défaut alignée sur la cadence livevis runtime.,0433a: comportement WYSIWYR par défaut. recordEvery absent ou <=0 suit livevis_control.kv:liveEvery; recordEvery>0 reste un override expert et apparaît dans manifest.kv avec recordEverySource=override.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording | session_0433a_wysiwyr
CONTROL,livevis_control.kv:recordFields,Clé fichier contrôle livevis / filtered recording,ajout 0432a,liste CSV de champs,current,rho|density|mass|rho1|rho2|Y1|Y2|ux|uy|speed|N|N1|N2|current,Sélectionne les champs écrits en .f32.,current est résolu au démarrage à partir du champ livevis courant; champs non supportés: erreur claire au démarrage de session.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:recordFormat,Clé fichier contrôle livevis / filtered recording,ajout 0432a,f32 | float32,f32,0432a supporte f32/float32 uniquement,Format des dumps de champs.,Un fichier brut float32 row-major par champ et par step enregistré; manifest.kv documente la grille et l’ordre.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:recordSession,Clé fichier contrôle livevis / filtered recording,ajout 0432a,chaîne,session_<startStep>,nom de dossier recommandé sans séparateurs de chemin,Nomme le sous-dossier de session sous outputDir/recordings/.,La valeur est verrouillée au passage recordEnable=false -> true.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:recordStride,Clé fichier contrôle livevis / filtered recording WYSIWYR 0433a,ajout 0433a,entier >= 1,absent,">=1; si présent, recordEvery=liveEvery*recordStride",Override expert relatif à l’affichage: enregistre une frame affichée sur N.,recordStride=1 est équivalent au comportement WYSIWYR par défaut. recordStride>1 réduit les dumps sans redéfinir une cadence absolue indépendante de liveEvery; manifest.kv indique recordEverySource=override.,src/filtered_field_recorder_0432.cpp,session_0433a_wysiwyr
CONTROL,livevis_control.kv:smoothPasses,Clé fichier contrôle livevis,ajout 0341a,entier >= 0,initialisé depuis LIVE_VIS_SMOOTH_PASSES,,Change à chaud le nombre de passes de lissage du champ affiché.,Augmenter fortement cette valeur peut augmenter le coût du renderer livevis.,src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
OUTPUT,recordings/manifest.kv:particleTypeFilter,Métadonnée sortie filtered recording 0436,ajout 0436,entier,valeur verrouillée au démarrage/relock de session,-1=all; >=0 type particulaire filtré,Documente dans le manifest.kv la population effectivement utilisée pour les dumps .f32.,Permet de valider les triplets total/type1/type2 et de tracer rho(type1)+rho(type2)-rho(total).,src/filtered_field_recorder_0432.cpp,session_0436_particle_type_filter_livevis
OUTPUT,recordings/manifest.kv:recordEverySource,Métadonnée sortie filtered recording 0433a,ajout 0433a,liveEvery | override,calculé à l’ouverture de session,"liveEvery si recordEvery absent ou <=0; override si recordEvery, recordStride ou env RECORD_EVERY force la cadence",Trace dans manifest.kv l’origine de la cadence effective d’enregistrement.,Utile pour vérifier le principe WYSIWYR: recordEverySource=liveEvery signifie que la cadence d’enregistrement suit la cadence livevis.,src/filtered_field_recorder_0432.cpp,session_0433a_wysiwyr
