name,category,status,expected_type,default_value,effect_role,remarks,target_parameters,source_paths,milestones,source_inventory
CHI_FILE_FORMAT,Alias script Darcy,ajout/documenté 0426,chaîne,DARCY_CHI_FILE_FORMAT ou float32,Format du champ chi externe côté script.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
CLEAN_RUN_ROOT,Alias runner / gestion des résultats | Runner qualification 0493x7i / nettoyage campagne,ajout/normalisé 0493w4–0493w8 | profil final x7q/x7i,booléen/int | booléen,1,Supprime le run root avant une nouvelle campagne. | Contrôle le runner de qualification physique sans ajouter de clé backend propre.,Mettre 0 pour ajouter des graines sans effacer les résultats existants. | Variable de script x7i; le runner transmet ensuite les paramètres/gates canoniques appropriés par mode. Profil gelé pour éviter le retour à des cas Poiseuille pathologiques.,,scripts/run_0493w5_independent_masked_periodic_smoke.sh;scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_0493x7i_q6_g_f_physical_qualification.sh,x7i;x7q,delta runners 0493w4–0493w8 / branche surf commit caa5b6b | mise à jour runner qualification 0493x7q
DARCY_ALPHA_MAX,Alias script Darcy,ajout/documenté 0426,double,selon script,Valeur de repli utilisée par ALPHA pour écrire darcyAlphaMax.,Backward step validé avec ALPHA=800000.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_ALPHA_MIN,Alias script Darcy,ajout/documenté 0426,double,0.0,Valeur de repli utilisée par ALPHA_MIN pour écrire darcyAlphaMin.,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_BRINKMAN_FORCING_MODE,Alias script Darcy,ajout/documenté 0426,chaîne,mean ou mean_outward_bath,Alias script de darcyBrinkmanForcingMode.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyBrinkmanForcingMode,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_ENABLE,Alias script Darcy chiVP,ajout/documenté 0426,booléen,false ou true,Alias script de darcyChiCollisionVpEnable.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpEnable,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_GAMMA,Alias script Darcy chiVP,ajout/documenté 0426,entier/double,-1,Alias script de darcyChiCollisionVpGamma.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpGamma,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_LAYERS,Alias script Darcy chiVP,ajout/documenté 0426,entier,1,Alias script de darcyChiCollisionVpLayers.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpLayers,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_MASS,Alias script Darcy chiVP,ajout/documenté 0426,double,1.0,Alias script de darcyChiCollisionVpMass.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpMass,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_MODE,Alias script Darcy chiVP,ajout/documenté 0426,chaîne,interface_band,Alias script de darcyChiCollisionVpMode.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpMode,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_STRENGTH,Alias script Darcy chiVP,ajout/documenté 0426,double,0.25 ou 1.0,Alias script de darcyChiCollisionVpStrength.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpStrength,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_COLLISION_VP_THRESHOLD,Alias script Darcy chiVP,ajout/documenté 0426,double,0.5,Alias script de darcyChiCollisionVpThreshold.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyChiCollisionVpThreshold,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_FILE,Alias script Darcy,ajout/documenté 0426,chemin fichier,selon cas,Alias externe de CHI_FILE pour fournir un champ chi sans modifier le script.,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_CHI_FILE_FORMAT,Alias script Darcy,ajout/documenté 0426,chaîne,float32,Alias externe de CHI_FILE_FORMAT.,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_COST_EVERY,Alias script Darcy diagnostics,ajout/documenté 0426,entier,SUMMARY_EVERY,Alias script de darcyCostEvery.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_INITIAL_DEACTIVATE_BELOW_CHI,Alias script Darcy,ajout/documenté 0426,double,-1 ou 0.05,Alias script de darcyInitialDeactivateBelowChi.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,darcyInitialDeactivateBelowChi,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_Q,Alias script Darcy,ajout/documenté 0426,double,0.1,Alias script de darcyQ.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_THREADS_PER_BLOCK,Alias script Darcy CUDA,ajout/documenté 0426,entier,256,Alias script de darcyThreadsPerBlock.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_USOLID_X,Alias script Darcy,ajout/documenté 0426,double,0.0,Alias script de darcyUSolidX.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DARCY_USOLID_Y,Alias script Darcy,ajout/documenté 0426,double,0.0,Alias script de darcyUSolidY.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DENSITY_RELAXATION_TIME,Alias runner de qualification 0493x7d/x7e,historique x7d/x7e; valeur reprise dans profil x7q,double >0,0.25,Contrôle tau_rho des anciens runners de raffinement.,Variable de script historique; la qualification x7i utilise X7I_Q6_GF_DENSITY_RELAXATION_TIME et le helper Q6_GF_DENSITY_RELAXATION_TIME.,,scripts/run_0493x7d_density_rhs_grid_refinement.sh;scripts/run_0493x7e_x6g_x7d_validation.sh,x7d;x7e;x7f;x7i;x7q,mise à jour 0493x7f–0493x7q / Q6-g-f
DROP_CENTER_X,Alias runner — splash x9s,ajout 0493x9s,double dans domaine,centre du domaine en x,Position initiale x du centre de goutte.,Doit laisser une marge compatible avec le rayon et l’étalement attendu.,,scripts/generate_0493x9s_splash_state.py;scripts/run_0493x9s_splash.sh,x9s,cycle_0493x9_surface_tension_20260819
DROP_CENTER_Y,Alias runner — splash x9s,ajout 0493x9s,double dans domaine,1.25 pour le domaine x9s par défaut,Position initiale y du centre de goutte.,Doit placer la goutte au-dessus de la cible sans intersection initiale non désirée.,,scripts/generate_0493x9s_splash_state.py;scripts/run_0493x9s_splash.sh,x9s,cycle_0493x9_surface_tension_20260819
DROP_RADIUS_CELLS,Alias runner — splash x9s,ajout 0493x9s,double >0,40,Rayon initial de la goutte en nombre de cellules.,"Avec h=1/256, le default donne R=40h.",,scripts/generate_0493x9s_splash_state.py;scripts/run_0493x9s_splash.sh,x9s,cycle_0493x9_surface_tension_20260819
DROP_VX,Alias runner — splash x9s,ajout 0493x9s,double,0,Vitesse initiale horizontale de la goutte.,Paramètre cinématique du cas initial.,,scripts/generate_0493x9s_splash_state.py;scripts/run_0493x9s_splash.sh,x9s,cycle_0493x9_surface_tension_20260819
DROP_VY,Alias runner — splash x9s,ajout 0493x9s,double,-0.35,Vitesse initiale verticale de la goutte.,Contrôle principalement l’inertie d’impact et le nombre de Weber du cas x9s.,,scripts/generate_0493x9s_splash_state.py;scripts/run_0493x9s_splash.sh,x9s,cycle_0493x9_surface_tension_20260819
DUMP_ROLE_FILTER,"Alias script | CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0314 | script 0314,all|fluid | alias script utilisateur,fluid dans scripts visual 0309+ | fluid dans scripts visuels 0309+,Alias exporté par les scripts vers dumpRoleFilter. | Alias script vers dumpRoleFilter.,"Paramètre de script, pas toujours une clé directe. | fluid produit des dumps compacts de visualisation; all reste restart-compatible.",dumpRoleFilter,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_params_delta_0314.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
EMPTY_INITIAL_MASS,Alias script état initial / injection empty refill 0434,option locale/proposée 0434; documenté 0436,double >0,PARTICLE_MASS,Paramètre de génération d’état initial pour tests empty/fill. | Masse utilisée par le générateur d’état initial empty selon convention de script.,Option script uniquement; pas d’effet si INITIAL_DOMAIN_MODE=full. | Sans effet si INITIAL_DOMAIN_MODE=full.,,scripts/run_0434_injection_type1_into_type2.sh,,session_0434_empty_initial_domain
EMPTY_INITIAL_SLOTS,Alias script état initial / injection empty refill 0434,option locale/proposée 0434; documenté 0436,entier >=0,gamma*Nx*Ny si vide,Dimensionne le pool initial inactif pour un domaine initialement vide. | Dimensionne le pool de slots inactifs pour INITIAL_DOMAIN_MODE=empty.,À combiner avec MPCD_CUDA_INACTIVE_TAIL_POOL_0313=1 pour éviter de dépendre d’un realloc/scan hôte. | Utile pour ne pas dépendre de la fin du run pour diagnostiquer refill/injection.,,scripts/run_0434_injection_type1_into_type2.sh,,session_0434_empty_initial_domain
EMPTY_INITIAL_TYPE,Alias script état initial / injection empty refill 0434,option locale/proposée 0434; documenté 0436,entier type particulaire,BACKGROUND_TYPE,Fixe le type associé au profil initial empty quand le générateur doit matérialiser une convention de type. | Type utilisé par le générateur d’état initial empty selon convention de script.,"Ne doit pas être confondu avec particleTypeFilter, qui est un filtre de visualisation. | Ne filtre pas l’affichage; pour cela utiliser PARTICLE_TYPE_FILTER.",,scripts/run_0434_injection_type1_into_type2.sh,,session_0434_empty_initial_domain
EVAPORATION_TARGET_TYPE,Alias runner — interface cinétique / évaporation,runner alias courant; production x12 = -1,entier,-1 (runners x12 et SimulationParams),Surcharge phaseInterfaceEvaporationTargetType.,"Avec r=1 dans la chaîne x12 actuelle, aucun passage d'évaporation n'est utilisé. Si >=0 avec r>0, le type doit être enregistré, non projeté et distinct de A.",phaseInterfaceEvaporationTargetType,include/simulation_params.h;scripts/run_0493x12d_jfm524_measurement_case.sh;src/params_io_base.cpp,,cycle_0493x9_surface_tension + 0493x10q_surface_free + 0493x11c_validation_20260822 + snap_260826_code_audit_20260826
FILTERED_RECORDING_ENABLE,Alias script filtered recording 0434/0436,documenté 0436,booléen shell | booléen/env truthy,0 ou valeur script | 0 sauf script/profil,Active les dumps filtrés .f32 dans les scripts homogènes 0434/0436. | Alias de script pour activer les dumps filtrés 0432.,"Quand recordEvery<=0, la cadence suit liveEvery avec le comportement WYSIWYR 0433a. | Peut être propagé vers MPCD_FILTERED_FIELD_RECORDING_0432/SRC_FILTERED_FIELD_RECORDING_0432 selon runner.",,scripts/run_0434_injection_type1_into_type2.sh;scripts/src_mpcd_run_common_0434.sh;src/filtered_field_recorder_0432.cpp,,session_0436_particle_type_filter_livevis
GAMMA,Validateurs CUDA resampling — population,lecture C++ directe dans validateurs shadow; également variable shell courante des runners,entier >0,20,Occupation moyenne gamma utilisée par les exécutables de validation CUDA resampling shadow.,La lecture getenv directe identifiée dans le C++ est limitée aux exécutables de validation CUDA resampling shadow. Le même nom est aussi utilisé comme variable shell par de nombreux runners qui l'écrivent ensuite dans les paramètres; ne pas le confondre avec un getenv du binaire de production.,,,,snap_260826_code_audit_20260826
GAS_KBT,Runner x14 — propriétés de phase,paramètre visible des runners x14,double >0,dépend du benchmark; Couette x14w: 0.08,Cible thermique du gaz et température de référence du mécanisme de paroi gaz; écrite dans la déclaration thermostat de l’espèce gaz.,Les runners x14 utilisant l’EOS x6g alignent aussi la température globale utilisée par cette fermeture sur la cible gaz.,,,x6g,extension_x14_snapshot_030926
GAS_PRESSURE_CONSTANT,Alias script 0493x6g,ajout runner 0493x6g,double fini,GAS_PRESSURE_REFERENCE,Alias du runner vers MPCD_Q6_PHASE_GAS_PRESSURE_CONSTANT_0493X6G.,Utilisé principalement dans le test de jauge à pression uniforme.,,scripts/run_0493x6g_phase_gas_pressure.sh;scripts/run_0493x6g_validation.sh,x6g,mise à jour 0493x6g
GAS_PRESSURE_MODE,Alias script 0493x6g,ajout runner 0493x6g,enum string,eos,Alias du runner vers MPCD_Q6_PHASE_GAS_PRESSURE_MODE_0493X6G.,eos pour le cas physique; constant pour validation de jauge.,,scripts/run_0493x6g_phase_gas_pressure.sh,x6g,mise à jour 0493x6g
GAS_PRESSURE_REFERENCE,Alias script 0493x6g,ajout runner 0493x6g,double fini,pression EOS uniforme initiale,Alias du runner vers MPCD_Q6_PHASE_GAS_PRESSURE_REFERENCE_0493X6G.,Le runner calcule par défaut gamma*kBT/Acell.,,scripts/run_0493x6g_final_dam_break.sh;scripts/run_0493x6g_phase_gas_pressure.sh,x6g,mise à jour 0493x6g
GAS_PRESSURE_SCALE,Alias script 0493x6g,ajout runner 0493x6g,double >= 0,1.0,Alias du runner vers MPCD_Q6_PHASE_GAS_PRESSURE_SCALE_0493X6G.,0 active le null-path de validation; 1 mode nominal.,,scripts/run_0493x6g_phase_gas_pressure.sh;scripts/run_0493x6g_validation.sh,x6g,mise à jour 0493x6g
GRID_CASES,Validateurs CUDA resampling — entrée de test,présent code; ajouté consolidation 0493w8,liste/chaîne de cas,défini par le validateur,Sélectionne les cas de grille exécutés par plusieurs binaires de validation du resampling CUDA.,"Variable de validateur, pas une option du solveur de production et ne se place pas dans params.kv.",,src/main_validate_cuda_resampling_guard_0227.cpp;src/main_validate_cuda_resampling_particle_select_0232.cpp;src/main_validate_cuda_resampling_plan_0228.cpp;src/main_validate_cuda_resampling_shadow_transfer_0233.cpp,,delta getenv exhaustif / branche surf commit caa5b6b
INACTIVE_SLOTS,"Capacité particulaire | CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",consolidé 0311-0312 | script/demo/audit,entier | alias script utilisateur,50k-120k selon cas; pas de défaut universel | selon script; éviter les millions,Nombre de slots Inactive préalloués par les générateurs/scripts. | Nombre de slots Inactive préalloués dans les scripts et audits.,La réserve peut être grande sans être écrite dans les dumps si dumpRoleFilter=fluid. | N’est pas une clé params.kv directe universelle; transmis par les générateurs d’état/scripts.,dumpRoleFilter,src/cuda_classic_src_io_resident_0263.cu,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_resampling_params_delta_0314.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv | src_mpcd_cuda_env_flags_0314_resampling.csv | src_mpcd_cuda_resampling_env_flags_delta_0314.csv | src_mpcd_cuda_resampling_env_flags_delta_0314_to_0337_livevis.csv
INACTIVE_SLOTS_RESAMPLING,Alias script livevis/benchmark,confirmé 0337,entier,750000 pour certains scripts,Nombre de slots inactifs pour les cas resampling.,N’affecte pas le SRC classic si RUN_MODES=classic; utile pour réservoir resampling.,,,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_params_added_0337_livevis.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv
INITIAL_DOMAIN_MODE,Alias script état initial / injection empty refill 0434 | Alias runner / injection multi-espèces,option locale/proposée 0434; documenté 0436 | ajout/normalisé 0493w4–0493w8,full | empty | empty|full,full | empty dans le runner partagé; full dans le wrapper biphasique,Permet de démarrer un cas injection/fill avec domaine initialement vide pour tester le remplissage par réservoir/inlet. | Choisit un domaine initialement vide avec pool ou rempli par l’espèce de fond. | Choisit entre domaine initial rempli et domaine initial vide pour tests injection/fill.,"Option de script, non paramètre solveur. À garder séparée des validations strictes si le script n’est pas intégré/commité. | Variable de script uniquement; ne pas interpréter comme paramètre solveur générique tant que le script n’est pas stabilisé/commité.",,scripts/run_0434_injection_type1_into_type2.sh;scripts/run_ok_injection_type1_into_type2.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,session_0434_empty_initial_domain | delta runners 0493w4–0493w8 / branche surf commit caa5b6b
INJECT_MASS_CLOSURE_STRENGTH,Alias runner / injection multi-espèces,ajout/normalisé 0493w4–0493w8,double,1.0 pour liquid; 0.0 pour gas,Définit massClosureStrengthDeclared de l’espèce injectée.,Concerne le resampling; sans effet si resampling désactivé.,,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
INJECT_PHASE,Alias runner / injection multi-espèces,ajout/normalisé 0493w4–0493w8,liquid|gas,liquid pour le wrapper type1_into_type2,Sélectionne la famille physique et les défauts Q6/fermeture de l’espèce injectée.,Indépendant de l’identifiant numérique INJECT_TYPE.,,scripts/run_ok_injection_type1_into_type2.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
