canonical_name,category,status,expected_type,default_value,constraints,effect_role,remarks,kv_keys,cpp_fields,aliases,runner_variables,source_paths,milestones,source_inventory
bottomOpenXMin,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,bottomOpenXMin,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
closedCapacityInletMassFluxEnable,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active une loi de flux de masse d’entrée pilotée par capacité.,Si réponse active.,closedCapacityInletMassFluxEnable,closedCapacityInletMassFluxEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityInletMassFluxMultiplier,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,1.0,>=0,Multiplicateur du flux de masse inlet piloté par capacité.,Si réponse active.,closedCapacityInletMassFluxMultiplier,closedCapacityInletMassFluxMultiplier,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityMassGuardDisableOnOverfill,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Désactive le mass guard lorsque l’overfill est détecté.,Si réponse active.,closedCapacityMassGuardDisableOnOverfill,closedCapacityMassGuardDisableOnOverfill,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityMassRemapEta,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,0.005,>0,Paramètre eta d’atténuation du remap de masse en surcapacité.,Si réponse active.,closedCapacityMassRemapEta,closedCapacityMassRemapEta,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityMassRemapPower,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,2.0,>0,Puissance de la loi d’atténuation du remap de masse.,Si réponse active.,closedCapacityMassRemapPower,closedCapacityMassRemapPower,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityQ6Eta,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,0.005,>0,Paramètre eta de réduction de la projection Q6 en surcapacité.,Si réponse active.,closedCapacityQ6Eta,closedCapacityQ6Eta,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityQ6Power,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,2.0,>0,Puissance de la loi de réduction Q6.,Si réponse active.,closedCapacityQ6Power,closedCapacityQ6Power,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityReferenceCellMass,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,0.0,>=0; 0 => inférer,Masse de référence par cellule fluide.,"Si réponse active, il faut pouvoir inférer via ce champ, resamplingTargetCellMass ou inletTargetOccupancy.",closedCapacityReferenceCellMass,closedCapacityReferenceCellMass,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityReferenceParticleMass,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,1.0,>0,Masse particulaire de référence.,Utilisé pour inférer la masse cellule depuis inletTargetOccupancy.,closedCapacityReferenceParticleMass,closedCapacityReferenceParticleMass,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityResponseEnable,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active la réponse à la surcapacité/overfill en domaine fermé.,,closedCapacityResponseEnable,closedCapacityResponseEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialBaseK,Réponse capacité fermée / viriel,existant catalogue 0292 | groupe dynamique,double,0.0,>=0,Raideur virielle de base.,Si réponse active.,closedCapacityVirialBaseK,closedCapacityVirialBaseK,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialEta,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,0.005,>0,Paramètre eta de la loi virielle.,Si réponse active.,closedCapacityVirialEta,closedCapacityVirialEta,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialGain,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,20.0,>=0,Gain de la composante virielle pilotée par l’overfill.,Si réponse active.,closedCapacityVirialGain,closedCapacityVirialGain,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialKickEnable,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Active le kick viriel faible lié à la surcapacité.,Si réponse active.,closedCapacityVirialKickEnable,closedCapacityVirialKickEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialKickStrength,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,1.0,>=0,Intensité multiplicative du kick viriel.,Si réponse active et kick viriel actif.,closedCapacityVirialKickStrength,closedCapacityVirialKickStrength,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialMomentumCorrectionEnable,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Corrige globalement le moment après kick viriel.,Si réponse active et kick viriel actif.,closedCapacityVirialMomentumCorrectionEnable,closedCapacityVirialMomentumCorrectionEnable,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
closedCapacityVirialPower,Réponse capacité fermée / viriel,existant catalogue 0292 | canonique,double,2.0,>0,Puissance de la loi virielle.,Si réponse active.,closedCapacityVirialPower,closedCapacityVirialPower,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
cudaResamplingChiFilterEnable,CUDA resampling — filtre Darcy/chi,ajout filtre chi; recensé 0490p,booléen,true,true/1/yes/on ou false/0/no/off.,Exclut les cellules Darcy de chi faible des mutations/reconditionnements/refills. | Alias accepté de cudaResamplingChiFilterEnable.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingChiFilterEnable;cudaResamplingDarcyChiFilterEnable,cudaResamplingChiFilterEnable,cudaResamplingChiFilterEnable;cudaResamplingDarcyChiFilterEnable,,include/simulation_params.h;src/cuda_resampling_mass_recondition_0296.cu;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingChiMin,CUDA resampling — filtre Darcy/chi,ajout filtre chi; recensé 0490p,double,0.5,"fini; typiquement dans [0,1].",Seuil minimal de chi pour autoriser le resampling CUDA. | Alias accepté de cudaResamplingChiMin.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingChiMin;cudaResamplingDarcyChiMin,cudaResamplingChiMin,cudaResamplingChiMin;cudaResamplingDarcyChiMin,,include/simulation_params.h;src/cuda_resampling_mass_recondition_0296.cu;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingEmptyRefillEnable,CUDA resampling — refill cellules vides 0319,ajout 0319; recensé 0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Active le refill CUDA des cellules humides vides depuis la mémoire cellulaire.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingEmptyRefillEnable,cudaResamplingEmptyRefillEnable,,,include/simulation_params.h;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingEmptyRefillGamma,CUDA resampling — refill cellules vides 0319,ajout 0319; recensé 0490p,entier,0,entier; contraintes détaillées vérifiées par validate_simulation_params.,Valeur gamma explicite pour la cible de refill; 0 utilise les fallbacks.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingEmptyRefillGamma,cudaResamplingEmptyRefillGamma,,,include/simulation_params.h;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingEmptyRefillMemoryMaxAge,CUDA resampling — refill cellules vides 0319,ajout 0319; recensé 0490p,entier,1000,>=0.,Âge maximal en pas de la mémoire cellulaire utilisée pour le refill.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingEmptyRefillMemoryMaxAge,cudaResamplingEmptyRefillMemoryMaxAge,,,include/simulation_params.h;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingEmptyRefillReference,CUDA resampling — refill cellules vides 0319,ajout 0319; recensé 0490p,chaîne,ntarget,ntarget | gamma.,Choisit la référence de refill: ntarget ou gamma.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingEmptyRefillReference,cudaResamplingEmptyRefillReference,,,include/simulation_params.h;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingEmptyRefillSpeciesCompositionEnable,Multi-espèces — refill,ajout 0490a–0490p,booléen,false,true/1/yes/on ou false/0/no/off.,Mémorise et restaure la composition multi-espèces des cellules temporairement vides.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingEmptyRefillSpeciesCompositionEnable,cudaResamplingEmptyRefillSpeciesCompositionEnable,,,doc/README_0490F_MIXED_SPECIES_REFILL.md;include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
cudaResamplingEmptyRefillTargetFraction,CUDA resampling — refill cellules vides 0319,ajout 0319; recensé 0490p,double,0.5,>0.,Fraction de la population de référence utilisée comme cible de refill.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,cudaResamplingEmptyRefillTargetFraction,cudaResamplingEmptyRefillTargetFraction,,,include/simulation_params.h;src/cuda_resampling_population_guard_0297.cu;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyBoxXMax,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Borne x maximale de la boîte Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyBoxXMax,darcyBoxXMax,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyBoxXMin,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Borne x minimale de la boîte Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyBoxXMin,darcyBoxXMin,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyBoxYMax,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Borne y maximale de la boîte Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyBoxYMax,darcyBoxYMax,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
darcyBoxYMin,Darcy/chiVP — géométrie et aliases,ajout 0343/0418–0426; complété inventaire 0490p,double,0.0,nombre réel fini; contraintes détaillées vérifiées par validate_simulation_params.,Borne y minimale de la boîte Darcy analytique.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b. | Champ canonique ajouté/recensé depuis l’inventaire 0436b. Les vecteurs speciesDefinitions/openBoundarySegments sont construits après le premier passage du parseur.,darcyBoxYMin,darcyBoxYMin,,,include/simulation_params.h;src/params_io_base.cpp,,delta parseur 0437–0490p / branche surf commit 36abd23 | delta SimulationParams 0437–0490p / branche surf commit 36abd23
DarcyBrinkmanConfig.alphaMax,Darcy/Brinkman — interpolation alpha,ajout 0343; complété 0425/0426,double,"variable : 80, 8000, 800000 selon script",>=0,Valeur maximale de résistance dans les zones chi≈0.,0425 backward step validé avec alphaMax=8e5 dans mean_outward_bath+chiVP après fastflags.,darcyAlphaMax,,ALPHA;DARCY_ALPHA_MAX,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.alphaMin,Darcy/Brinkman — interpolation alpha,ajout 0343,double,0.0,>=0,Valeur minimale de la résistance alpha dans le fluide libre.,Typiquement 0 pour ne pas freiner le fluide chi=1.,darcyAlphaMin,,ALPHA_MIN;DARCY_ALPHA_MIN,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.chiFile,Darcy/Brinkman — champ chi,ajout 0345,chemin fichier,,fichier .f32/.png selon script; doit correspondre à darcyChiNx/Ny,Chemin du champ chi externe utilisé par le solveur.,"Convention : chi=1 fluide libre, chi=0 solide/poreux.",darcyChiFile,,CHI_FILE;DARCY_CHI_FILE,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.chiFileFormat,Darcy/Brinkman — champ chi,ajout 0345,chaîne,float32,float32; autres formats selon lecteurs disponibles,Format de stockage du champ chi externe.,Les scripts de démonstration utilisent majoritairement float32 row-major.,darcyChiFileFormat,,CHI_FILE_FORMAT;DARCY_CHI_FILE_FORMAT,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.chiMode,Darcy/Brinkman — champ chi,ajout 0345,chaîne,analytic,analytic|file,Sélectionne un chi analytique ou un champ chi externe lu depuis fichier.,Le mode file est la voie recommandée pour géométries arbitraires et optimisation externe.,darcyChiMode,,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.costEvery,Darcy/Brinkman — diagnostics,ajout 0343,entier,summaryEvery,>=1; grande valeur pour quasi-désactiver la cadence,Cadence d’écriture du fichier darcy_cost_0343.csv.,L’ablation 0425 a montré que ce n’était pas le poste dominant du ralentissement.,darcyCostEvery,,DARCY_COST_EVERY,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.costFilename,Darcy/Brinkman — diagnostics,ajout 0343,nom fichier,darcy_cost_0343.csv,chemin relatif outputDir,"Nom du CSV de diagnostics Darcy : puissance, fuite solide, moyenne chi/alpha, etc.",,darcyCostFilename,,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.darcyChiNx,Darcy/Brinkman — champ chi,ajout 0345,entier,Nx,>0; doit correspondre à la grille,Dimension x du champ chi externe.,Doit rester cohérente avec la grille de simulation.,darcyChiNx,,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.darcyChiNy,Darcy/Brinkman — champ chi,ajout 0345,entier,Ny,>0; doit correspondre à la grille,Dimension y du champ chi externe.,Doit rester cohérente avec la grille de simulation.,darcyChiNy,,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.enabled,Darcy/Brinkman — activation,ajout 0343; complété 0426,booléen,false,true/false,Active le module de pénalisation Darcy--Brinkman piloté par chi.,"Le test darcyOff 0425/0426 a montré que le coût lent observé venait des flags CUDA, pas de ce booléen seul.",darcyBrinkmanEnable,,,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
DarcyBrinkmanConfig.forcingMode,Darcy/Brinkman — mode de forcing,ajout 0418-0420,chaîne,mean ou mean_outward_bath,mean|outward_bath|mean_outward_bath selon build,"Sélectionne le schéma de kick : moyenne cellulaire, bain orienté par grad chi, ou combinaison.",Le mode mean_outward_bath est le candidat solide-aware retenu pour backward step.,darcyBrinkmanForcingMode,,DARCY_BRINKMAN_FORCING_MODE,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
