milestone_id,family,support_type,nature,function,status,milestone_key,canonical_id,domain,name
0490J,0490,modification code,CODE,Porte sur CUDA la garde de population par espèce.,Jalon historique documenté,history:0490j,history:0490j,MULTISPECIES_RESAMPLING,Garde de population multi-espèces CUDA
0490K,0490,modification code,CODE,Construit côté CUDA le plan de transferts donneur–receveur utilisé par le resampling multi-espèces.,Jalon historique documenté,history:0490k,history:0490k,MULTISPECIES_RESAMPLING,Plan de transferts multi-espèces CUDA
0490L,0490,qualification,QUALIFICATION,Valide l'enchaînement CUDA résident des opérations de resampling multi-espèces avant activation du chemin rapide.,Qualification historique,history:0490l,history:0490l,MULTISPECIES_RESAMPLING,Validation du resampling résident multi-espèces
0490M,0490,modification code,PERF,Introduit le fast path CUDA résident pour le resampling multi-espèces afin de réduire les passages par le CPU.,Optimisation historique,history:0490m,history:0490m,MULTISPECIES_RESAMPLING,Chemin rapide résident multi-espèces
0490M-fix2,0490,modification code,FIX,"Correctif de fermeture conservative du chemin résident multi-espèces, appliqué après le jalon 0490M.",Correctif historique,history:0490m-fix2,history:0490m-fix2,MULTISPECIES_RESAMPLING,Fermeture conservative multi-espèces
0490N,0490,modification code,CODE,Ajoute les opérations de maintenance résidente nécessaires à la continuité du resampling multi-espèces sur GPU.,Jalon historique documenté,history:0490n,history:0490n,MULTISPECIES_RESAMPLING,Maintenance résidente multi-espèces
0490N-fix1,0490,diagnostic,DIAGNOSTIC,Ajoute la télémétrie de contrôle des populations et bilans par espèce sur le chemin résident.,Diagnostic historique,history:0490n-fix1,history:0490n-fix1,MULTISPECIES_RESAMPLING,Télémétrie résidente par espèce
0490N-fix2,0490,modification code,FIX,Correctif de matérialisation de plusieurs transferts par cellule dans la maintenance résidente multi-espèces.,Correctif historique,history:0490n-fix2,history:0490n-fix2,MULTISPECIES_RESAMPLING,Matérialisation des transferts multiples
0490P,0490,modification code,PERF,Finalise la politique de cellule côté device afin que la chaîne de décision du resampling résident ne dépende plus d'une décision CPU.,Architecture historique,history:0490p,history:0490p,MULTISPECIES_RESAMPLING,Politique cellule sur device / zéro CPU
0491A,0491,infrastructure,INFRA,"Formalise la distribution de correction Q6 par espèce et fournit un référentiel CPU analytique pour vérifier pondérations, conservation barycentrique et modes de repli.",Jalon historique documenté,history:0491a,history:0491a,SPECIES_Q6,Contrat Q6 sensible à l'espèce
0491B,0491,modification code,CODE,"Calcule sur GPU les poids et résidus species-Q6 à partir du dépôt cellule-espèce 0490H, en mode shadow sans application dynamique, afin de comparer le calcul CUDA à la référence CPU 0491A.",Jalon historique attesté par documentation technique,history:0491b,history:0491b,SPECIES_Q6,Dépôt partagé et shadow CUDA species-Q6
0491C,0491,calibrateur + modification code,CODE,"Introduit l'application pondérée par type dans le chemin Q6 CUDA résident, en remplaçant uniquement l'application particulaire de la correction tout en conservant le dépôt barycentrique, le solveur, les conditions limites et les diagnostics historiques.",Jalon historique attesté par documentation technique,history:0491c,history:0491c,SPECIES_Q6,Application CUDA opt-in du Q6 par espèce
0491D,0491,runner,QUALIFICATION,"Qualifie l'activation du Q6 sensible à l'espèce sur les chemins src, src-resampling, src-q6 et src-q6-resampling avec contrôle des résidus et de la configuration résidente.",Qualification historique,history:0491d,history:0491d,SPECIES_Q6,Matrice des chemins species-Q6
0491E,0491,runner,QUALIFICATION,"Vérifie le contrat strictement résident du species-Q6 : exécution device-resident, absence de tableaux cellule-espèce hôte, de transfert de poids H2D, de téléchargement complet d'état et de fallback CPU.",Qualification historique,history:0491e,history:0491e,SPECIES_Q6,Audit strict du Q6 résident par espèce
0491F,0491,runner,QUALIFICATION,"Compare les modes Q6 commun et pondéré avec et sans thermostat, en contrôlant résidu Q6, conservation de masse, dérive de vitesse moyenne et comportement thermique.",Qualification historique,history:0491f,history:0491f,SPECIES_Q6,Validation énergie et thermostat du species-Q6
0491G,0491,runner,QUALIFICATION,Vérifie la compatibilité du chemin Q6 par espèce avec les familles de frontières ouvertes et Darcy-Brinkman tout en maintenant les garanties de résidence GPU et l'absence de fallback CPU.,Qualification historique,history:0491g,history:0491g,SPECIES_Q6,Qualification frontières ouvertes et Darcy du species-Q6
0491H,0491,runner + visualisation,QUALIFICATION,"Consolide les validations de chemins, résidence stricte, énergie, frontières/Darcy, cas personnalisés et runs longs, avec contrôles de masse par espèce, résidu Q6, allocations et coûts par nombre d'espèces.",Qualification historique consolidée,history:0491h,history:0491h,SPECIES_Q6,Campagne consolidée de validation species-Q6
0491H-fix1,0491,runner,FIX,"Consolide le correctif final du chemin Q6 sensible aux espèces par une qualification approfondie : longueurs exactes, équivalence d'état, thermostat, interface, espèce trace, runs fermés longs et politique cellule device issue de 0490P.",Correctif historique qualifié,history:0491h-fix1,history:0491h-fix1,SPECIES_Q6,Correctif final et qualification approfondie species-Q6
0492,0492,runner + vérificateur,INFRA,"Consolide les runners run_ok autour d'une base commune, d'un preflight homogène et du contrat LiveVis, tout en intégrant la chaîne multi-espèces résidente issue de 0490/0491. Les sous-révisions internes 0492a et 0492b portent respectivement la résolution du mode résident et les contrôles sémantiques des injections multi-espèces.",Infrastructure runner historique qualifiée,history:0492,history:0492,RUN_OK_INFRA,Refresh et contrat des run_ok
0493A,0493,vérificateur,INFRA,"Étend la chaîne résidente 0490M/N/P à toutes les familles de frontières supportées, supprime le routage topology-only et garde Q6, Darcy, thermostat et règles de split/merge physiquement inchangés.",Jalon historique documenté,history:0493a,history:0493a,MULTISPECIES_RESAMPLING,Routage universel du resampling multi-espèces résident
0493B,0493,runner + vérificateur,CODE,"Ajoute une politique de mutation par espèce tout en conservant toutes les espèces dans SRC, Q6, Darcy, frontières et dépôts barycentriques; la production reste zéro-CPU pour les décisions cellule/espèce.",Jalon historique documenté,history:0493b,history:0493b,MULTISPECIES_RESAMPLING,Resampling CUDA résident activable par espèce
0493C,0493,runner + analyseur,QUALIFICATION,"Qualifie le chemin résident sur une matrice périodique, frontières segmentées et Darcy/chi, avec activité effective, intégrité du pool, conservation de masse par espèce et absence de mutation des espèces désactivées.",Qualification historique,history:0493c,history:0493c,MULTISPECIES_RESAMPLING,Qualification du resampling multi-espèces résident
0493C-fix3,0493,modification code,FIX,Corrige la qualification medium de 0493C afin que les seuils de population restent cohérents avec gamma et ne créent pas un faux régime de garde.,Correctif historique attesté par Git,history:0493c-fix3,history:0493c-fix3,MULTISPECIES_RESAMPLING,Alignement du population guard medium sur gamma
0493D,0493,modification code,PERF,"Remplace la recherche sérielle plan×particules par une sélection parallèle par groupes indépendants donneur/type, tout en reconstruisant l'ordre global historique des opérations.",Jalon d'optimisation attesté par le code,history:0493d,history:0493d,MULTISPECIES_RESAMPLING,Sélection parallèle déterministe des transferts résidents
0493D-fix1,0493,modification code,FIX,Conserve la sélection parallèle de 0493D mais rejoue mutations et réductions diagnostiques dans l'ordre historique pour préserver exactement l'arithmétique et la déterminisme du chemin 0490M.,Correctif historique attesté par Git,history:0493d-fix1,history:0493d-fix1,MULTISPECIES_RESAMPLING,Rejeu déterministe du state-update après sélection parallèle
0493E,0493,runner + analyseur,QUALIFICATION,"Teste le resampling résident mono-espèce sur un état contrôlé avec conservation masse/impulsion/énergie, activité split/merge et invariants de pool.",Qualification physique historique,history:0493e,history:0493e,MULTISPECIES_RESAMPLING,Qualification physique mono-espèce du resampling
0493F,0493,runner + analyseur,QUALIFICATION,"Étend la qualification physique à deux espèces et aux activations sélectives, afin de contrôler séparément conservation globale et conservation par espèce pendant les mutations résidentes.",Qualification physique historique,history:0493f,history:0493f,MULTISPECIES_RESAMPLING,Qualification physique à deux espèces du resampling
0493F-fix2,0493,modification code,FIX,"Remplace le checkerboard initial par un état où les champs de masse, impulsion et énergie par espèce sont uniformes malgré les variations de population, afin que le smoke mesure la mutation numérique sans forçage physique parasite.",Correctif de qualification historique,history:0493f-fix2,history:0493f-fix2,MULTISPECIES_RESAMPLING,Cas deux-espèces physiquement neutre
0493G,0493,runner + analyseur,CODE,Restaure indépendamment les moments thermodynamiques de chaque espèce mutable autour de son propre barycentre; évite l'échange artificiel de quantité de mouvement et d'énergie créé par la restauration sur barycentre de mélange.,Correction physique historique,history:0493g,history:0493g,MULTISPECIES_RESAMPLING,Restauration locale des moments par espèce
0493H,0493,runner + analyseur,QUALIFICATION,"Compare SRC et SRC+resampling sur une onde de cisaillement périodique. Le jalon vérifie décroissance/viscosité et intégrité mais met aussi en évidence les dérives de masse, impulsion et énergie du chemin resampling avant les fermetures I/J.",Diagnostic physique historique,history:0493h,history:0493h,MULTISPECIES_RESAMPLING,Diagnostic physique par onde de cisaillement périodique
0493I,0493,modification code,FIX,Étend la balance conservative masse/impulsion de 0490I au cas d'une seule espèce enregistrée; supprime la dérive d'impulsion introduite par l'ancien branchement mass-only lorsque speciesCount=1.,Correctif physique attesté par le code,history:0493i,history:0493i,MULTISPECIES_RESAMPLING,Fermeture conservative mono-espèce sur le chemin résident
0493J,0493,modification code,CODE,"Ajoute à la fermeture résidente la conservation de l'énergie cinétique relative par espèce, avec diagnostics de faisabilité et résidu; cette fermeture devient un invariant contrôlé dans les qualifications de transport ultérieures.",Jalon historique documenté,history:0493j,history:0493j,MULTISPECIES_RESAMPLING,Fermeture conservative de l'énergie cinétique par espèce
0493O0,0493,vérificateur + runner,BENCHMARK,Établit deux références SRC-only sans Q6 ni resampling mutant : Taylor--Green périodique et cas segmented inlet/outlet avec obstacle Darcy/chi. Les diagnostics de support restent passifs afin de mesurer le problème avant toute réparation.,Référence historique pré-réparation,history:0493o0,history:0493o0,MULTISPECIES_RESAMPLING,Références SRC seules avant réparation locale du support
0493O1,0493,modification code + runner,CODE,"Introduit le mode résident split-only piloté par Neff=(sum m)^2/sum(m^2) pour chaque paire cellule/espèce active. Une paire pauvre est réparée vers NTarget par scission déterministe des fragments les plus lourds, avec conservation locale masse, impulsion et énergie cinétique.",Jalon historique documenté,history:0493o1,history:0493o1,MULTISPECIES_RESAMPLING,Population effective cible : split local piloté par Neff
0493O1-fix2,0493,vérificateur,FIX,Rend le guard CUDA split-only autoritaire et interdit le repli vers l'ancien population guard CPU. Ce repli pouvait appliquer des merges malgré extraction=false et créer des trous dans l'active prefix avant resynchronisation.,Correctif de sûreté résident attesté par le code,history:0493o1-fix2,history:0493o1-fix2,MULTISPECIES_RESAMPLING,Autorité CUDA du split-only local
0493O2-fix1,0493,vérificateur,FIX,"Étend le runner TG de O1 à un mode dual-espèces contrôlé : seul le tableau des types est réécrit en répartition locale équilibrée, tandis que positions, vitesses, masses et rôles restent identiques à l'état TG de référence. Aucun jalon O2 de base n'est reconstruit.",Sous-jalon historique explicitement attesté,history:0493o2-fix1,history:0493o2-fix1,MULTISPECIES_RESAMPLING,Runner TG mono/dual-espèces pour la réparation de support
0493O3,0493,vérificateur + analyseur,PERF,"Ajoute une détection anticipée des paires pauvres. Si aucune réparation n'est requise, le chemin évite préparation cinétique, collecte de candidats, planification, mutation et contrôles post-mutation, tout en exposant des chronométrages dédiés.",Optimisation résidente historique,history:0493o3,history:0493o3,MULTISPECIES_RESAMPLING,Early-exit résident lorsqu'aucune paire cellule/espèce n'est pauvre
0493O4,0493,vérificateur,QUALIFICATION,"Restaure une comparaison appariée baseline/réparation sur le cas segmented inlet/outlet + Darcy/chi, avec registre d'espèces strict, split-only activable, empty-refill/mass-guard/thermal-renormalization désactivés et paramètres identiques hors réparation.",Qualification historique,history:0493o4,history:0493o4,MULTISPECIES_RESAMPLING,Qualification de la réparation de support en segmented-Darcy
0493W0,0493,runner + analyseur,BENCHMARK,Balaye le régime SRC-only du cas cylindre/Darcy pour déterminer si lip d'entrée et wake appauvri proviennent d'un régime mésoscopique extrême avant d'attribuer ces effets à un défaut de support. Q6 et réparations mutantes restent désactivés.,Diagnostic historique du régime cinétique,history:0493w0,history:0493w0,SRC_CALIBRATION,Audit du régime cinétique du cas segmented-Darcy
0493W1,0493,calibrateur + runner,CALIBRATOR,"Caractérise le fluide SRC homogène par Taylor--Green pour la viscosité, réponse longitudinale pour la célérité acoustique et MSD pour l'autodiffusion; en déduit notamment Sc et, lorsque les échelles sont fournies, Re/Ma/Pe.",Calibrateur historique,history:0493w1,history:0493w1,SRC_CALIBRATION,Calibrateur constitutif du fluide SRC
0493W2,0493,calibrateur + runner,BENCHMARK,"Rejoue le cylindre avec entrée/sortie segmentées et Darcy/chi en conservant la taille de cellule et les propriétés mesurées en W1. Le cas devient une référence physique dimensionnée, avec support repair, resampling, refill et reconditionnement désactivés.",Référence physique calibrée,history:0493w2,history:0493w2,SRC_CALIBRATION,Référence segmented-Darcy sur fluide SRC calibré
0493W3,0493,modification code,FIX,Corrige le traitement des cellules partielles au bord d'une aperture d'entrée segmentée afin que l'injection prescrite reste cohérente avec la fraction effectivement ouverte. Le jalon est conservé par son commit Git explicite.,Correctif historique attesté par Git,history:0493w3,history:0493w3,BOUNDARY,Correction de l'injection sur cellule partielle d'une entrée segmentée
0493W4,0493,runner,RUNNER,"Normalise les runners d'injection autour des familles liquid/gas plutôt que des seuls identifiants de type : forces Q6 et fermeture de masse déclarées, rapport de masses, domaine empty/full, diagnostics species et contrat de post-check deviennent explicites et indépendants du numéro de type.",Jalon de runner attesté par le code et les inventaires,history:0493w4,history:0493w4,MULTISPECIES_RUNNER,Runner d'injection multi-espèces normalisé par famille de phase
0493W5,0493,runner + générateur,CODE,Introduit speciesQ6Mode=independent_masked : chaque espèce de force Q6 positive construit son propre support à partir de l'occupation mass/referenceCellMass et reçoit son propre solveur masqué; une espèce de force nulle ne reçoit structurellement aucune correction Q6 directe. L'étape initiale est périodique.,Jalon historique documenté,history:0493w5,history:0493w5,SPECIES_Q6,Q6 multi-espèces independent_masked — étape périodique
0493W6,0493,runner + vérificateur,DIAGNOSTIC,Distingue la divergence du flux de face auxiliaire projeté de celle du champ cellulaire redéposé après correction particulaire. Ce diagnostic révèle notamment le mismatch face-vers-cellule aux bords internes d'un support partiellement masqué sans modifier l'opérateur.,Diagnostic historique documenté,history:0493w6,history:0493w6,SPECIES_Q6,Diagnostic de divergence après application du Q6 masqué
0493W7,0493,runner + vérificateur,CODE,"Étend le solveur Q6 indépendant par espèce aux topologies déjà acceptées par le backend résident : périodique, canal à parois, entrée/sortie pleine face, apertures segmentées et Darcy-Brinkman, sans réintroduire correction barycentrique ni fallback common.",Jalon historique documenté et qualifié,history:0493w7,history:0493w7,SPECIES_Q6,Q6 independent_masked sur toutes les familles de frontières résidentes
0493W8,0493,runner + analyseur,QUALIFICATION,"Qualifie la neutralité du registre et du découpage en types, la non-régression du solveur independent_masked en support plein face au Q6 mono historique, et le transport TG de deux labels indépendamment projetés représentant le même fluide.",Qualification historique consolidée,history:0493w8,history:0493w8,SPECIES_Q6,Équivalence Taylor--Green mono / dual-identique du Q6 independent_masked
Q6,socle,modification code,CODE,Projection du champ de vitesse/moment pour réduire la divergence. Les variantes récentes opèrent sur GPU résident.,Socle actif selon RUN_MODE,reference:Q6,,CORE,Projection quasi-incompressible
Q6 multi-espèces,socle,infrastructure,INFRA,Registre d'espèces; mode independent_masked pour projeter le liquide sans projeter directement le gaz.,Socle multi-espèces,reference:Q6 multi-espèces,,CORE,Projection sélective par espèce
Q6-g,socle,modification code,CODE,Inclut la force dans la vitesse tentative avant le streaming afin que la projection corrige la vitesse réellement utilisée pour transporter les particules.,"Introduit par x3, base de Q6-g-f",reference:Q6-g,,CORE,Q6 force-aware
Q6-g-f,socle,modification code,CODE,"Chaîne: vitesse tentative forcée, interface physique alpha=0.5, condition de pression, reconstruction face-particule B1/RT0 et relaxation lente de densité dans le même solveur CG.",Chaîne de projection de référence,reference:Q6-g-f,,CORE,Q6 force-aware + interface + face-particule + densité
Q9,socle,modification code,CODE,Ancienne projection complémentaire du flux de masse à grande longueur d'onde.,Historique / séparée du chemin Q6-g-f actuel,reference:Q9,,CORE,Relaxation basse fréquence du flux de masse
Resampling,socle,qualification,QUALIFICATION,Rééchantillonnage local conservatif pour maintenir population et masse cellulaire; distinct de Q6 et opt-in.,"Module séparé, OFF dans les qualifications surface libre récentes",reference:Resampling,,CORE,Contrôle du support particulaire
SRC/MPCD,socle,modification code,CODE,"Streaming des particules, collision stochastique par cellule, rotation SRD, grid shift et thermostat. C'est le fluide mésoscopique de base.",Socle actif,reference:SRC/MPCD,,CORE,Collision particulaire SRC/MPCD
x0,x0,runner + générateur,VISUALIZATION,"Introduit une démonstration qualitative d'une colonne liquide dense entourée d'un gaz compressible, avec speciesQ6Mode=independent_masked, q6Strength liquide=1 et gaz=0. Le cas sert d'intégration/visualisation du Q6 multi-espèces et non de benchmark surface libre calibré.",Démonstration historique d'intégration,0493x0,0493x0,SPECIES_Q6,Démonstration dam-break bi-espèces du Q6 independent_masked
x1,x1,modification code + runner,CODE,"Étend le chemin parois CUDA résident à une boîte rectangulaire statique non périodique sur les quatre faces. Le premier sous-ensemble accepte solid/specular, sans segment ouvert, obstacle immergé, domaine mobile ni resampling; Q6 independent_masked est exécuté de façon résidente avec boundaryFamily=closed_box.",Étape historique qualifiée pour la démonstration dam-break,0493x1,0493x1,BOUNDARY,Chemin de frontières closed-box CUDA résident
x2,x2,runner + générateur,DIAGNOSTIC,"Isole un liquide mono-espèce entièrement rempli dans la boîte fermée sous gravité. Le Q6 common maintient une faible divergence post-collision, mais le kick-and-drift historique déplace les particules avant cette projection; le déplacement déterministe d'ordre g*dt^2 s'accumule au mur inférieur et explique la lente sédimentation observée.",Diagnostic causal; mène directement à x3,0493x2,0493x2,Q6_GF,Diagnostic liquide plein : force appliquée avant une projection Q6 trop tardive
x3,x3,modification code + runner,CODE,"Introduit q6ForceProjectionMode=prestream : la force est appliquée à la vitesse résidente, cette vitesse tentative est projetée par Q6 avant le streaming, puis le solve Q6 post-collision historique est conservé. Le chemin démontre que la vitesse de transport, et non seulement la vitesse post-collision, doit satisfaire la contrainte incompressible.",Preuve de concept validant la cause; supplantée par x4a,0493x3,0493x3,Q6_GF,Q6-g force-aware — preuve de concept prestream à deux solves
x4a,x4,modification code + runner,CODE,"Ajoute q6ForceProjectionMode=prestream_single. Après force -> Q6 -> streaming, collision SRC et thermostat relatif ne déplacent pas les particules; le solve post-collision est donc omis et la vitesse issue de collision est projetée au début du pas suivant avant tout nouveau transport.",Référence mono-solve; supplantée par la fusion x4b,0493x4a,0493x4a,Q6_GF,Q6-g prestream_single — un solve Q6 par pas forcé
x4b,x4,modification code + runner,PERF,"Ajoute q6ForceProjectionMode=prestream_single_fused : le dépôt CUDA construit directement le moment tentative m(v+a dt), le solveur Q6 projette ce champ, puis un même passage particulaire applique la force physique et la correction Q6 avant streaming. Le momentum apporté par la force reste distinct de la correction de momentum Q6.",Séquençage temporel Q6-g de référence pour la suite de 0493x,0493x4b,0493x4b,Q6_GF,Q6-g prestream_single_fused — fusion CUDA force + projection
x5a,x5,modification code + runner,CODE,"Conserve le séquençage prestream_single_fused de x4b et introduit speciesQ6Mode=free_surface_masked pour une unique espèce liquide projetée. Le support de pression est construit à partir du remplissage absolu mass/referenceCellMass; une face active/inactive impose encore une pression de jauge nulle à demi-maille, avec le facteur deux correspondant dans le Laplacien et la correction de vitesse.",Première fermeture liquide-vide; support numérique encore assimilé à l'interface,0493x5a,0493x5a,Q6_GF,Q6-g free_surface_masked — premier liquide partiellement rempli
x5a2,x5,runner + analyseur,QUALIFICATION,"Soumet l'opérateur x5a inchangé à une interface fortement déformable : une colonne liquide est libérée dans une boîte fermée autrement vide. Le générateur ajoute le profil empty-outside-column et les diagnostics suivent géométrie, support et solveur. La campagne est robuste avant impact mais la fragmentation post-impact montre que le bord du support numérique ne peut pas être identifié à l'interface physique.",Qualification discriminante; motive la séparation support/interface de x6,0493x5a2,0493x5a2,Q6_GF,Qualification dam-break liquide-vide du free_surface_masked
x5b,x5,runner + analyseur,QUALIFICATION,"Ajoute la première qualification dynamique bi-espèces au-dessus de x5a/x5a2 sans modifier l'opérateur CUDA. Le liquide seul est projeté par free_surface_masked; le gaz est enregistré avec q6StrengthDeclared=0, reçoit la force et participe aux collisions SRC multi-espèces mais reste compressible et ne reçoit aucune correction Q6 directe. À ce stade la pression gazeuse n'est pas injectée dans la condition de pression Q6.",Première qualification bi-espèces; couplage gaz-liquide encore collisionnel côté pression,0493x5b,0493x5b,Q6_GF,Qualification liquide-gaz : Q6-g liquide et gaz compressible explicite
x6a,x6,modification code + runner,DIAGNOSTIC,"Reconstruit, sans modifier l'opérateur Q6, la pression idéale du gaz p_g=N_g kBT/A_cell et le potentiel phi_g=dt*p_g/rho_l,ref sur les faces liquide/non-liquide du support free_surface_masked. Le champ est audité mais n'est pas consommé par la projection; pGamma reste nul.",Diagnostic EOS préparatoire; aucune rétroaction sur le solveur,0493x6a,0493x6a,Q6_GF,Diagnostic EOS de pression gazeuse interfaciale
x6b,x6,modification code + runner,DIAGNOSTIC,"Reconstruit à cadence sparse un remplissage de phase à partir des masses cellule-espèce et audite support numérique, crossing alpha=0.5, distances sous-maille et normales, sans créer de champ géométrique résident ni modifier l'opérateur. Cette étape formalise la différence entre le carrier Q6 et l'interface physique.",Diagnostic géométrique; prépare la matérialisation résidente x6c,0493x6b,0493x6b,Q6_GF,Diagnostic géométrique support Q6 / interface alpha=0.5
x6c,x6,modification code + runner,INFRA,"Matérialise sur GPU, à chaque solve Q6 free_surface_masked, un champ rawFill issu des masses liquides puis un champ alpha filtré par un stencil cinq points conservatif avec lambda=0.125. À son introduction ces champs sont construits mais non consommés par la projection; ils deviennent ensuite la géométrie commune de x6d/x6e/x6f/x6g.",Infrastructure géométrique résidente; base des stencils d'interface ultérieurs,0493x6c,0493x6c,Q6_GF,Infrastructure résidente du champ de phase alpha
x6d,x6,modification code + runner,CODE,"Premier consommateur actif du champ alpha résident : sur une face active/inactive du carrier qui encadre alpha=0.5, remplace le facteur demi-maille par la distance sous-maille theta et utilise 1/theta dans l'opérateur/correction; les petits theta gardent le facteur 2 de stabilisation. La pression interfaciale reste pGamma=0.",Expérience active historique; architecture abandonnée au profit de x6f,0493x6d,0493x6d,Q6_GF,Expérience cut-face 1/theta sur le bord du carrier
x6e,x6,modification code + runner,DIAGNOSTIC,"Scanne toutes les faces de grille traversant alpha=0.5 indépendamment du carrier Q6 et classe les crossings active-active, active-inactive et inactive-inactive. Le diagnostic démontre que l'interface physique traverse fréquemment des paires de cellules encore toutes deux dans le carrier et invalide l'architecture cut-face x6d.",Diagnostic architectural décisif; motive pressureMask séparé de x6f,0493x6e,0493x6e,Q6_GF,Audit topologique de l'interface physique alpha=0.5
x6f,x6,modification code + runner,CODE,"Sépare le carrier de particules du domaine de pression : pressureMask=carrierMask AND alpha>=0.5. Une passe CUDA prépare une fois par solve les coefficients east/north des faces (1 intérieur, 1/theta crossing physique, 2 small-theta, 0 sans couplage), ensuite réutilisés à chaque itération CG. Le pGamma reste nul dans cette étape.",Architecture d'interface retenue; géométrie bornée par x6f2 avant x6g,0493x6f,0493x6f,Q6_GF,Stencil résident de pression sur l'interface physique alpha=0.5
x6f2,x6,modification code + runner,FIX,"Sépare l'occupation liquide brute, volontairement non bornée, de la géométrie d'interface : le filtre x6c consomme désormais geom0=clamp(rawFill,0,1), puis alpha=geom0+lambda*sum(geom0_nb-geom0). Cette correction empêche une forte sur-occupation voisine de créer artificiellement alpha>0.5 dans une cellule vide.",Correctif géométrique actif de la chaîne x6f/x6g,0493x6f2,0493x6f2,Q6_GF,Correction : géométrie de phase bornée avant filtrage
x6g,x6,modification code + runner,CODE,"Réutilise le stencil x6f/x6f2 pour imposer p_l|Gamma=p_g. Sur chaque face alpha=0.5, construit phiGamma=dt*(p_g-p_ref)/rho_l,ref à partir du gaz côté alpha<0.5 (EOS ou pression constante), l'injecte dans le RHS et la correction de face sans modifier la matrice CG. Cette face deviendra ensuite le point d'insertion de p_g+sigma*kappa.",Couplage pression gaz actif sur interface résidente; base du futur terme capillaire,0493x6g,0493x6g,Q6_GF,Condition de pression gazeuse sur l'interface physique
x6h-A,x6,modification code,FIX,"Corrige l'asymétrie du stockage east/north des corrections Q6 : sur une frontière physique basse non périodique, aucune cellule propriétaire west/south n'existe pour fournir la correction de face. x6h-A reconstruit alors cette correction avec la même convention target-before que les faces hautes, sous contrôle du pressureMask, afin de ne pas injecter de kick dans les seules cellules de carrier.",Correctif de reconstruction des faces basses actif dans Q6-g-f,0493x6h-a,0493x6h-a,Q6_GF,Correctif des corrections de faces physiques basses
x6h-B0,x6,modification code + analyseur,DIAGNOSTIC,"Ajoute, uniquement à cadence d'audit, un redépôt post-application et localise la divergence résiduelle par régions bulk, interface, paroi, paroi-interface, coin et coin-interface. Le diagnostic montre où la correction FV projetée perd sa cohérence lorsqu'elle est convertie en incréments particulaires puis redéposée.",Diagnostic sparse OFF en production; motive la reconstruction B1,0493x6h-b0,0493x6h-b0,Q6_GF,Diagnostic régional de divergence après application aux particules
x6h-B1,x6,modification code,CODE,"Remplace, dans le chemin free_surface_masked force+Q6 fusionné, l'application d'un incrément constant par cellule par une reconstruction affine aux positions particulaires entre les corrections des faces opposées. Les faces west/south sont déduites des moyennes cellulaires et des faces east/north, avec x6h-A pour les frontières basses; la divergence discrète du champ reconstruit est ainsi celle du champ FV projeté.",Reconstruction face-particule active dans le profil Q6-g-f qualifié,0493x6h-b1,0493x6h-b1,Q6_GF,Reconstruction affine RT0/MAC des corrections face-vers-particule
