Inventaire source,Type entrée,Nom,Catégorie,Statut,Type attendu,Défaut,Effet / rôle,Remarques,Sources repérées
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MASS_RECONDITION_0296_STRENGTH,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,1.0,Force du rapprochement des masses vers M_c/N_c.,0 passif; 1 homogénéisation complète dans les cellules traitées.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off,Active le population guard local par split/merge représentatif.,Post-SRC; doit être utilisé avec restauration 0298 en mode actif.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,20 nominal,Cadence du guard 0297.,Validation backward step: 20.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_NMIN,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,12 nominal,Borne pauvre de population cellulaire.,Triplet nominal validé: 12:20:32.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_NTARGET,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,20 nominal,Population cible.,Doit rester cohérent avec gamma nominal.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_NMAX,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,32 nominal,Borne riche de population cellulaire.,Triplet nominal validé: 12:20:32.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0297_SPLIT_FRACTION,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,0.5,Fraction de masse prélevée au donneur lors du split représentatif.,Conserve masse et impulsion locale avant restauration énergétique.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,true en guard actif,Active la restauration de l’énergie cinétique relative cellulaire.,Contrôle K_rel après split/merge.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298_MAX_SCALE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,4.0,Borne du facteur de rescale des vitesses relatives.,Garde-fou contre les corrections thermiques extrêmes.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298_ABS_TOL,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,1e-14,Tolérance absolue de restauration K_rel.,Diagnostic et évitement des divisions par bruit.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MOMENT_RESTORE_0298_REL_TOL,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,double,1e-12,Tolérance relative de restauration K_rel.,Diagnostic et évitement des rescale non significatifs.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_BOUNDARY_AWARE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,true/on dans scripts 0300+,Active le filtrage boundary-aware des cellules candidates.,Évite de mélanger support-control interne et réservoir hard inlet/outlet.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_OPEN_BOUNDARY_HALO_CELLS,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,1,Épaisseur exclue près des ouvertures.,Nominalement 1 cellule.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_BOUNDARY_HALO_CELLS,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,0,Épaisseur exclue près des parois simples.,0 par défaut pour conserver les zones de cisaillement.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_SOLID_HALO_CELLS,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,0,Épaisseur exclue près des solides immergés.,0 par défaut; peut être augmenté pour tests prudents.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,booléen/env truthy,false/off,Active le diagnostic post-SRC de support faible/vide sur grille physique non shiftée.,Écrit/complète cuda_resampling_adaptive_flag_0304.csv; diagnostic passif.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304_EVERY,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,entier,1 à 20 selon script,Cadence du diagnostic flag 0304.,"Plus la cadence est faible, plus la détection low-N/empty est fréquente.",doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304_TRIGGER_NMIN,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,entier,6 dans les scripts de diagnostic,Seuil de population cellulaire low-N utilisé par le flag.,Ne déclenche pas de correction avant scheduler adaptatif futur.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304_TRIGGER_EMPTY,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,booléen/env truthy,true dans les diagnostics,Active la détection des cellules humides vides.,Utile comme brique commune pour guard adaptatif ou refill futur.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_GEOMETRY_DIAG_0305_HIGH_U,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0305,réel,1.0,Seuil de vitesse cellulaire élevée pour la classification géométrique 0305.,Classe les cellules bulk/wall/solid/open/corner adjacent.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_OUTLIER_0306_U_THRESHOLD,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0306,réel,1.0,Seuil |U| pour déclarer une cellule outlier dans les diagnostics 0306.,Alimente cuda_resampling_outlier_diagnostics_0306_worst_cells.csv.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SPLIT_SAFETY_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,booléen/env truthy,true dans scripts resampling nominal 0308+,Active la prévention des cascades de split créant des particules de masse dégénérée.,Doit rester activé avec le resampling CUDA nominal.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
