name,entry_type,category,status,expected_type,default,values_constraints,canonical_field_target,aliases,effect_role,remarks,sources,source_inventory
darcyUSolidY,kv_param,Darcy/Brinkman — vitesse solide,ajout 0343,double,0.0,réel,DarcyBrinkmanConfig.uSolidY,DARCY_USOLID_Y,Composante y de la vitesse cible solide vers laquelle le frein Darcy relaxe.,,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyCostEvery,kv_param,Darcy/Brinkman — diagnostics,ajout 0343,entier,summaryEvery,>=1; grande valeur pour quasi-désactiver la cadence,DarcyBrinkmanConfig.costEvery,DARCY_COST_EVERY,Cadence d’écriture du fichier darcy_cost_0343.csv.,L’ablation 0425 a montré que ce n’était pas le poste dominant du ralentissement.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyCostFilename,kv_param,Darcy/Brinkman — diagnostics,ajout 0343,nom fichier,darcy_cost_0343.csv,chemin relatif outputDir,DarcyBrinkmanConfig.costFilename,,"Nom du CSV de diagnostics Darcy : puissance, fuite solide, moyenne chi/alpha, etc.",,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyThreadsPerBlock,kv_param,Darcy/Brinkman — CUDA,ajout 0343,entier,256,multiple raisonnable de warp,DarcyBrinkmanConfig.threadsPerBlock,DARCY_THREADS_PER_BLOCK,Taille de bloc CUDA utilisée par les kernels Darcy.,,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyInitialDeactivateBelowChi,kv_param,Darcy/Brinkman — état initial chi,ajout 0418,double,-1 ou 0.05 selon script,<0 désactive; sinon seuil chi,DarcyBrinkmanConfig.initialDeactivateBelowChi,DARCY_INITIAL_DEACTIVATE_BELOW_CHI,Désactive initialement les particules situées dans les cellules de chi inférieur au seuil.,Valeur 0.05 retenue pour backward step afin d’éviter une masse fluide initiale dans le solide.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyBrinkmanForcingMode,kv_param,Darcy/Brinkman — mode de forcing,ajout 0418-0420,chaîne,mean ou mean_outward_bath,mean|outward_bath|mean_outward_bath selon build,DarcyBrinkmanConfig.forcingMode,DARCY_BRINKMAN_FORCING_MODE,"Sélectionne le schéma de kick : moyenne cellulaire, bain orienté par grad chi, ou combinaison.",Le mode mean_outward_bath est le candidat solide-aware retenu pour backward step.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpEnable,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,booléen,false ou true selon script,true/false,DarcyChiCollisionVpConfig.darcyChiCollisionVpEnable,DARCY_CHI_COLLISION_VP_ENABLE,Active les moments virtuels de collision dérivés de chi.,Pas de particules persistantes : contribution effective au centre de masse de collision.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpMode,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,chaîne,interface_band,interface_band,DarcyChiCollisionVpConfig.darcyChiCollisionVpMode,DARCY_CHI_COLLISION_VP_MODE,Sélectionne la zone chi utilisée pour les moments virtuels.,Mode nominal : bande d’interface.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpGamma,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,entier/double,-1,-1 hérite gamma nominal; sinon valeur explicite,DarcyChiCollisionVpConfig.darcyChiCollisionVpGamma,DARCY_CHI_COLLISION_VP_GAMMA,Occupation virtuelle de référence pour chiVP.,-1 utilisé dans les scripts pour rester cohérent avec GAMMA.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpMass,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,double,1.0,>0,DarcyChiCollisionVpConfig.darcyChiCollisionVpMass,DARCY_CHI_COLLISION_VP_MASS,Masse unitaire virtuelle utilisée dans le moment effectif.,,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpLayers,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,entier,1,>=1,DarcyChiCollisionVpConfig.darcyChiCollisionVpLayers,DARCY_CHI_COLLISION_VP_LAYERS,Nombre de couches d’interface prises en compte.,,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpThreshold,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,double,0.5,0..1,DarcyChiCollisionVpConfig.darcyChiCollisionVpThreshold,DARCY_CHI_COLLISION_VP_THRESHOLD,Seuil chi pour détecter l’interface virtuelle.,,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiCollisionVpStrength,kv_param,Darcy/Brinkman — chiVP collision,ajout 0422; complété 0424/0425,double,0.25 ou 1.0 selon script,>=0,DarcyChiCollisionVpConfig.darcyChiCollisionVpStrength,DARCY_CHI_COLLISION_VP_STRENGTH,Gain relatif de la contribution chiVP.,0.25 retenu après sweep Von Karman filtré et backward step 0425.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkEnable,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,booléen,true,true/false,TopoBenchmarkConfig.topoBenchmarkEnable,TOPO_BENCHMARK_ENABLE,Active le benchmark topologique optionnel.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkEvery,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,entier,darcyCostEvery,>=1,TopoBenchmarkConfig.topoBenchmarkEvery,TOPO_BENCHMARK_EVERY,Cadence d’écriture des observables topo.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkFilename,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,nom fichier,topo_benchmark_0348.csv,chemin relatif outputDir,TopoBenchmarkConfig.topoBenchmarkFilename,TOPO_BENCHMARK_FILENAME,Nom du CSV benchmark topo.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkForceEnable,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,booléen,true,true/false,TopoBenchmarkConfig.topoBenchmarkForceEnable,TOPO_BENCHMARK_FORCE_ENABLE,Active les observables de force Darcy cell-based.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkDragLiftEnable,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,booléen,true,true/false,TopoBenchmarkConfig.topoBenchmarkDragLiftEnable,TOPO_BENCHMARK_DRAG_LIFT_ENABLE,Active les projections drag/lift proxy.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkFlowDirX,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,double,1.0,vecteur direction,TopoBenchmarkConfig.topoBenchmarkFlowDirX,TOPO_BENCHMARK_FLOW_DIR_X,Composante x de la direction drag/écoulement.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkFlowDirY,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,double,0.0,vecteur direction,TopoBenchmarkConfig.topoBenchmarkFlowDirY,TOPO_BENCHMARK_FLOW_DIR_Y,Composante y de la direction drag/écoulement.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkLiftDirX,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,double,0.0,vecteur direction,TopoBenchmarkConfig.topoBenchmarkLiftDirX,TOPO_BENCHMARK_LIFT_DIR_X,Composante x de la direction lift.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
topoBenchmarkLiftDirY,kv_param,Darcy/Brinkman — benchmark topo,ajout 0348a/0348b,double,1.0,vecteur direction,TopoBenchmarkConfig.topoBenchmarkLiftDirY,TOPO_BENCHMARK_LIFT_DIR_Y,Composante y de la direction lift.,"Observables proxy : à interpréter comme force de pénalisation volumique, pas effort pariétal exact.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
openBoundarySegment0,kv_param,Inlet/outlet segmenté,ajout 0249b; documenté 0426,chaîne structurée,face mode sMin sMax ux uy type mass,"face in {left,right,top,bottom}; mode inlet/outlet",OpenBoundarySegments.segment[0],,Définit le premier segment ouvert en coordonnées relatives de face.,Utilisé dans LR segments et backward step Darcy pour éviter l’injection dans chi-solide.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
openBoundarySegment1,kv_param,Inlet/outlet segmenté,ajout 0249b; documenté 0426,chaîne structurée,face mode sMin sMax ux uy type mass,"face in {left,right,top,bottom}; mode inlet/outlet",OpenBoundarySegments.segment[1],,Définit le second segment ouvert en coordonnées relatives de face.,Utilisé dans LR segments et backward step Darcy.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
initialInactiveSlots,kv_param,État particulaire / pool inactif,documenté 0426,entier,0 ou fonction de gamma*Nx*Ny,>=0,StateInit.initialInactiveSlots,INACTIVE_SLOTS,Réserve des slots inactifs dans l’état initial pour injection/remplissage.,Particulièrement utile dans les scripts segmentés Darcy avec reservoir/inlet.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
ALPHA,script_alias,Alias script Darcy,ajout/documenté 0426,double,DARCY_ALPHA_MAX ou valeur script,voir paramètre kv ou env flag associé,,,Alias de darcyAlphaMax dans les scripts de démonstration.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
ALPHA_MIN,script_alias,Alias script Darcy,ajout/documenté 0426,double,DARCY_ALPHA_MIN ou 0.0,voir paramètre kv ou env flag associé,,,Alias de darcyAlphaMin.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
