Catégorie,Champ canonique,Alias acceptés / formes liées,Type,Défaut,Valeurs possibles / contraintes,Condition d'activation / remarques,Signification,Source
Forçage et contrôle d’écoulement,keepMeanFlowEnable,keepMeanFlow,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active un correcteur global de vitesse moyenne après SRC/Q6/thermostat.,simulation_params.h; params_io_base.cpp
Forçage et contrôle d’écoulement,targetMeanUx,meanFlowUx; U0,double,0.0,nombre réel fini,Pris en compte si keepMeanFlowEnable=true.,Vitesse moyenne cible en x.,simulation_params.h; params_io_base.cpp
Forçage et contrôle d’écoulement,targetMeanUy,meanFlowUy,double,0.0,nombre réel fini,Pris en compte si keepMeanFlowEnable=true.,Vitesse moyenne cible en y.,simulation_params.h; params_io_base.cpp
Conditions limites,bcLeft,boundaryLeft,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Les périodiques doivent être appariés gauche/droite.,Mode de condition limite sur la face gauche.,simulation_params.h; params_io_base.cpp
Conditions limites,bcRight,boundaryRight,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Les périodiques doivent être appariés gauche/droite.,Mode de condition limite sur la face droite.,simulation_params.h; params_io_base.cpp
Conditions limites,bcBottom,boundaryBottom,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Les périodiques doivent être appariés bas/haut.,Mode de condition limite sur la face basse.,simulation_params.h; params_io_base.cpp
Conditions limites,bcTop,boundaryTop,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Les périodiques doivent être appariés bas/haut.,Mode de condition limite sur la face haute.,simulation_params.h; params_io_base.cpp
Conditions limites,bcX,,enum string,(non stocké),periodic; solid; specular; bounceback; inlet/input; outlet/output/open,"Alias de paire; appliqué à bcLeft et bcRight, puis les clés par face peuvent surcharger.",Définit simultanément les modes gauche et droit.,simulation_params.h; params_io_base.cpp
Conditions limites,bcY,,enum string,(non stocké),periodic; solid; specular; bounceback; inlet/input; outlet/output/open,"Alias de paire; appliqué à bcBottom et bcTop, puis les clés par face peuvent surcharger.",Définit simultanément les modes bas et haut.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUx,inletVelocityX,double,(non stocké),nombre réel fini,Applique la même valeur à inletUxLeft/Right/Bottom/Top.,Alias global pour la composante x de vitesse d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUy,inletVelocityY,double,(non stocké),nombre réel fini,Applique la même valeur à inletUyLeft/Right/Bottom/Top.,Alias global pour la composante y de vitesse d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUxLeft,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante x de la vitesse prescrite sur l’entrée left.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUyLeft,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante y de la vitesse prescrite sur l’entrée left.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUxRight,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante x de la vitesse prescrite sur l’entrée right.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUyRight,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante y de la vitesse prescrite sur l’entrée right.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUxBottom,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante x de la vitesse prescrite sur l’entrée bottom.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUyBottom,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante y de la vitesse prescrite sur l’entrée bottom.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUxTop,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante x de la vitesse prescrite sur l’entrée top.,simulation_params.h; params_io_base.cpp
Entrées/sorties — vitesse,inletUyTop,,double,0.0,nombre réel fini,Utilisé par les faces inlet et les segments d’inlet selon le cas.,Composante y de la vitesse prescrite sur l’entrée top.,simulation_params.h; params_io_base.cpp
Entrées/sorties — rampe,inletVelocityRampEnable,inletRampEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active une rampe temporelle multiplicative sur les vitesses/flux d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — rampe,inletVelocityRampStartTime,inletRampStartTime,double,0.0,nombre réel fini,"Si rampe active, EndTime >= StartTime.",Temps de début de la rampe d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — rampe,inletVelocityRampEndTime,inletRampEndTime,double,0.0,nombre réel fini,"Si rampe active, EndTime >= StartTime.",Temps de fin de la rampe d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — rampe,inletVelocityRampInitialFactor,inletRampInitialFactor,double,0.0,nombre réel fini,Si rampe active.,Facteur multiplicatif initial de vitesse/flux d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — rampe,inletVelocityRampFinalFactor,inletRampFinalFactor,double,1.0,nombre réel fini,Si rampe active.,Facteur multiplicatif final de vitesse/flux d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — rampe,inletVelocityRampProfile,inletRampProfile,enum string,linear,linear; smoothstep,Si rampe active.,Loi d’interpolation temporelle de la rampe.,simulation_params.h; params_io_base.cpp
Entrées/sorties — profil spatial,inletVelocitySpatialProfile,inletSpatialProfile; inletProfile; openBoundaryVelocityProfile,enum string,uniform,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,Les tirets sont normalisés en underscores.,Profil spatial de vitesse/flux imposé sur les entrées.,simulation_params.h; params_io_base.cpp
Entrées/sorties — profil spatial,inletVelocityWallTaperCells,inletWallTaperCells; openBoundaryVelocityWallTaperCells,double,2.0,>= 0,Utilisé par les profils flat_taper_y.,"Largeur du lissage/taper près des murs, exprimée en cellules.",simulation_params.h; params_io_base.cpp
Entrées/sorties — injection,inletKBT,,double,-1.0,négatif => hérite de kBT; sinon >0 recommandé,"Si inletThermalNoise>0 et inletKBT<0, kBT doit être >0.",Température cinétique imposée aux particules injectées.,simulation_params.h; params_io_base.cpp
Entrées/sorties — injection,inletThermalNoise,,double,1.0,>= 0,,Amplitude du bruit thermique Maxwellien ajouté à l’inlet; 0 donne une vitesse déterministe.,simulation_params.h; params_io_base.cpp
Entrées/sorties — injection,inletInjectionMode,,enum string,cuda_recycle,cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density,Validé seulement si une frontière inlet/outlet est présente.,Mode historique de réinjection/recyclage des particules à l’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — injection,inletSlabCells,inletInjectionSlabCells,double,1.0,> 0,Utilisé dans les modes de recyclage/injection en slab.,Épaisseur de la dalle d’injection en nombre de cellules locales.,simulation_params.h; params_io_base.cpp
Entrées/sorties — injection,inletRandomizeTangential,inletRandomizeTransverse; inletRandomizeY; injectRandomY,booléen,true,booléen: true/1/yes/on ou false/0/no/off,,Randomise la coordonnée tangentielle des particules injectées.,simulation_params.h; params_io_base.cpp
Entrées/sorties — injection,inletReinjectBackflow,reinjectBackflow,booléen,true,booléen: true/1/yes/on ou false/0/no/off,,Réinjecte les particules traversant une entrée dans le mauvais sens au lieu de les laisser sortir.,simulation_params.h; params_io_base.cpp
Entrées/sorties — réservoir dur,inletReservoirMode,,enum string,recycle,recycle; cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density; default,hard_cell_density exige inletReservoirCells>0 et inletTargetOccupancy>0.,Mode de réservoir d’entrée; les alias cuda_recycle/thin_slab sont normalisés vers recycle.,simulation_params.h; params_io_base.cpp
Entrées/sorties — réservoir dur,inletReservoirCells,inletDensityCells,entier,1,> 0 si hard_cell_density,Utilisé par le mode hard_cell_density.,Épaisseur du réservoir d’entrée en nombre de cellules.,simulation_params.h; params_io_base.cpp
Entrées/sorties — réservoir dur,inletTargetOccupancy,inletTargetN; inletGamma,entier,0,> 0 si hard_cell_density,Souvent choisi égal à gamma.,Nombre cible de particules par cellule de réservoir dur.,simulation_params.h; params_io_base.cpp
Entrées/sorties — réservoir dur,inletHardCellVelocityMean,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Mode hard_cell_density.,Recentre les vitesses injectées pour imposer exactement la moyenne de cellule.,simulation_params.h; params_io_base.cpp
Entrées/sorties — réservoir dur,inletHardCellThermalRescale,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Mode hard_cell_density.,Rescale les fluctuations thermiques de la cellule d’entrée.,simulation_params.h; params_io_base.cpp
Entrées/sorties — segments,openBoundarySegmentsEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,"Si true, openBoundarySegmentCount>0 et chaque openBoundarySegmentK requis.",Active les segments compacts inlet/outlet sur des faces autrement wall-like.,simulation_params.h; params_io_base.cpp
Entrées/sorties — segments,openBoundarySegmentCount,,entier,0,0 si désactivé; 1..16 si activé,Limite codée: 16 segments.,Nombre de segments ouverts définis.,simulation_params.h; params_io_base.cpp
Entrées/sorties — segments,openBoundarySegmentK,openBoundarySegment0 ... openBoundarySegment{N-1},record,(aucun),"face mode sMin sMax ux uy type mass; face={left,right,bottom,top}; mode=inlet/input/outlet/output/open; 0<=sMin<sMax<=1; mass>0",N=openBoundarySegmentCount. Les segments d’une même face ne doivent pas se chevaucher.,Déclaration d’un segment relatif sur une face solide/specular/bounceback.,simulation_params.h; params_io_base.cpp
Entrées/sorties — sortie Q6,openBoundaryOutletMode,openOutletBoundaryMode; outletBoundaryMode; q6q9OutletBoundaryMode,enum string,balanced_flux,balanced_flux; prescribed_flux; balanced; prescribed; dirichlet; neumann; free; zero_gradient; zero_normal_gradient; hybrid; neumann_feedback; hybrid_feedback,Les segments de sortie exigent neumann/free/zero_gradient/zero_normal_gradient ou hybrid/neumann_feedback/hybrid_feedback.,Politique de flux de sortie pour la projection Q6 open-boundary.,simulation_params.h; params_io_base.cpp
Entrées/sorties — sortie Q6,openBoundaryOutletHybridBlend,outletHybridBlend; openOutletHybridBlend,double,0.0,"[0,1]","Utilisé uniquement en mode hybrid; pour sorties segmentées hybrid, doit rester 0.",Mélange entre profil local Neumann et profil équilibré.,simulation_params.h; params_io_base.cpp
Entrées/sorties — sortie Q6,openBoundaryOutletFeedbackGain,outletFeedbackGain; openOutletFeedbackGain; openBoundaryOutletMassFeedbackGain,double,0.0,"[0,1]",Utilisé uniquement en mode hybrid/neumann_feedback/hybrid_feedback.,Gain du feedback global outlet-only sur le déséquilibre de flux.,simulation_params.h; params_io_base.cpp
Parois,wallVpEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active explicitement le couplage virtual-particle de paroi legacy.,simulation_params.h; params_io_base.cpp
Parois,wallVpMode,,enum string,thermal,thermal; deterministic_thermal; stochastic_fraction,,Mode de couplage thermique de paroi; stochastic_fraction est accepté comme alias legacy.,simulation_params.h; params_io_base.cpp
Parois,wallAccommodation,,double,1.0,"[0,1]",,"Coefficient d’accommodation de paroi: 0 glissant/specular-like, 1 couplage thermique complet.",simulation_params.h; params_io_base.cpp
Parois,wallVpGamma,,double,0.0,>= 0; 0 infère l’occupation moyenne réelle,,Population virtuelle de paroi dans une cellule de collision entièrement solide.,simulation_params.h; params_io_base.cpp
Parois,wallVpMass,,double,1.0,> 0,,Masse des particules virtuelles/agrégat de paroi.,simulation_params.h; params_io_base.cpp
Parois,wallKBT,,double,-1.0,négatif => hérite de kBT; sinon >0 si couplage actif,"Si paroi active et accommodation>0, kBT doit être >0 si wallKBT/wallVpKBT sont négatifs.",Température cinétique de paroi.,simulation_params.h; params_io_base.cpp
Parois,wallVpKBT,,double,-1.0,alias legacy thermique; négatif => hérite de kBT; 0 invalide si actif,Utilisé comme fallback si wallKBT n’est pas positif.,Ancien paramètre de température de paroi VP.,simulation_params.h; params_io_base.cpp
Parois,wallThermalNoise,,double,1.0,>= 0,,Amplitude du bruit thermique de paroi; 0 donne un couplage déterministe.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUxLeft,wallUxLeft,double,0.0,nombre réel fini,,Composante x de la vitesse de paroi sur la face left.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUyLeft,wallUyLeft,double,0.0,nombre réel fini,,Composante y de la vitesse de paroi sur la face left.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUxRight,wallUxRight,double,0.0,nombre réel fini,,Composante x de la vitesse de paroi sur la face right.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUyRight,wallUyRight,double,0.0,nombre réel fini,,Composante y de la vitesse de paroi sur la face right.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUxBottom,wallUxBottom,double,0.0,nombre réel fini,,Composante x de la vitesse de paroi sur la face bottom.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUyBottom,wallUyBottom,double,0.0,nombre réel fini,,Composante y de la vitesse de paroi sur la face bottom.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUxTop,wallUxTop,double,0.0,nombre réel fini,,Composante x de la vitesse de paroi sur la face top.,simulation_params.h; params_io_base.cpp
Parois — vitesses,wallVpUyTop,wallUyTop,double,0.0,nombre réel fini,,Composante y de la vitesse de paroi sur la face top.,simulation_params.h; params_io_base.cpp
Solide immergé,immersedSolidEnable,immersedCircleEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active un solide immergé analytique.,simulation_params.h; params_io_base.cpp
Solide immergé,immersedSolidShape,,enum string,circle,circle; disk; disc; rectangle; rect; box; step,immersedCircleEnable sans shape force circle.,Forme du solide immergé.,simulation_params.h; params_io_base.cpp
Solide immergé,immersedSolidFractionSamples,immersedCircleFractionSamples,entier,4,> 0,,Nombre d’échantillons pour estimer la fraction fluide/solide des cellules.,simulation_params.h; params_io_base.cpp
Solide immergé — cercle,immersedSolidCx,immersedCircleCx,double,0.5,nombre réel fini,Le cercle doit rester dans le domaine actif au début et à la fin.,Abscisse initiale du centre du cercle.,simulation_params.h; params_io_base.cpp
Solide immergé — cercle,immersedSolidCy,immersedCircleCy,double,0.5,nombre réel fini,Le cercle doit rester dans le domaine actif au début et à la fin.,Ordonnée initiale du centre du cercle.,simulation_params.h; params_io_base.cpp
Solide immergé — cercle,immersedSolidR,immersedCircleR,double,0.1,> 0 si shape=circle/disk/disc,,Rayon du cercle immergé.,simulation_params.h; params_io_base.cpp
Solide immergé — mouvement,immersedSolidVx,immersedCircleVx,double,0.0,nombre réel fini,Q6 avec masque immergé impose actuellement Vx=Vy=Omega=0.,Vitesse de translation du solide en x.,simulation_params.h; params_io_base.cpp
Solide immergé — mouvement,immersedSolidVy,immersedCircleVy,double,0.0,nombre réel fini,Q6 avec masque immergé impose actuellement Vx=Vy=Omega=0.,Vitesse de translation du solide en y.,simulation_params.h; params_io_base.cpp
Solide immergé — mouvement,immersedSolidWallUx,immersedCircleWallUx,double,0.0,nombre réel fini,,Offset uniforme de vitesse de paroi du solide en x.,simulation_params.h; params_io_base.cpp
Solide immergé — mouvement,immersedSolidWallUy,immersedCircleWallUy,double,0.0,nombre réel fini,,Offset uniforme de vitesse de paroi du solide en y.,simulation_params.h; params_io_base.cpp
Solide immergé — mouvement,immersedSolidOmega,immersedCircleOmega,double,0.0,nombre réel fini,Implémenté seulement pour le cercle; rectangle exige Omega=0.,"Vitesse angulaire du cercle, positive antihoraire.",simulation_params.h; params_io_base.cpp
Solide immergé — rectangle,immersedSolidXMin,,double,0.0,nombre réel fini,Rectangle: XMax>XMin; doit rester dans le domaine actif.,Borne x minimale du rectangle.,simulation_params.h; params_io_base.cpp
Solide immergé — rectangle,immersedSolidXMax,,double,0.25,nombre réel fini,Rectangle: XMax>XMin; doit rester dans le domaine actif.,Borne x maximale du rectangle.,simulation_params.h; params_io_base.cpp
Solide immergé — rectangle,immersedSolidYMin,,double,0.0,nombre réel fini,Rectangle: YMax>YMin; doit rester dans le domaine actif.,Borne y minimale du rectangle.,simulation_params.h; params_io_base.cpp
Solide immergé — rectangle,immersedSolidYMax,,double,0.50,nombre réel fini,Rectangle: YMax>YMin; doit rester dans le domaine actif.,Borne y maximale du rectangle.,simulation_params.h; params_io_base.cpp
Thermostat,thermostatEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active le thermostat mass-aware par cellule.,simulation_params.h; params_io_base.cpp
Thermostat,thermostatMode,,enum string,cell_relative_rescale,cell_relative_rescale,Si thermostatEnable=true.,Mode de thermostat: rescale des vitesses relatives au centre de masse cellulaire.,simulation_params.h; params_io_base.cpp
Thermostat,thermostatEvery,,entier,1,>0 si thermostatEnable=true,,Cadence du thermostat en pas de temps.,simulation_params.h; params_io_base.cpp
Thermostat,thermostatTargetKBT,,double,-1.0,négatif => hérite de kBT; sinon >0; 0 invalide si actif,"Si thermostatEnable=true et valeur négative, kBT doit être >0.",Température cinétique cible du thermostat.,simulation_params.h; params_io_base.cpp
Thermostat,thermostatMinParticles,,entier,3,>=2 si thermostatEnable=true,,Nombre minimal de particules d’une cellule pour thermostat.,simulation_params.h; params_io_base.cpp
Thermostat,thermostatEpsilon,,double,1.0e-30,>0 si thermostatEnable=true,,Seuil numérique anti-division par zéro du thermostat.,simulation_params.h; params_io_base.cpp
Thermostat,kBT,,double,0.0,>=0 usuel; doit être >0 quand hérité par thermostat/paroi/inlet bruité,Référence thermique globale.,Température cinétique globale de référence.,simulation_params.h; params_io_base.cpp
Projection Q6 / elliptique,projectionEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active la projection incompressible Q6.,simulation_params.h; params_io_base.cpp
Projection Q6 / elliptique,projectionOperator,,enum string,periodic_fv_cg,periodic_fv_cg; channel_fv_cg; auto_fv_cg; elliptic_fv_cg,Si projectionEnable=true.,Opérateur elliptique/div-grad utilisé par la projection.,simulation_params.h; params_io_base.cpp
Projection Q6 / elliptique,projectionMaxIterations,,entier,300,>=0,Si projectionEnable=true.,Nombre maximal d’itérations CG.,simulation_params.h; params_io_base.cpp
Projection Q6 / elliptique,projectionTolerance,,double,1.0e-10,>0,Si projectionEnable=true.,Tolérance relative/numérique du solveur de projection.,simulation_params.h; params_io_base.cpp
Projection Q6 / elliptique,projectionMomentumCorrectionEnable,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,,Active la correction globale de quantité de mouvement après projection.,simulation_params.h; params_io_base.cpp
Projection Q6 / elliptique,q6ProjectionStrength,projectionStrength,double,1.0,"[0,1]",Si projectionEnable=true.,Sous-relaxation de la correction fluide-fluide Q6.,simulation_params.h; params_io_base.cpp
Projection Q6 / solide immergé,projectionImmersedSolidMaskEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,"Q6 + immersedSolidEnable exige true, sauf debug explicite.",Active le masque solide immergé dans la projection.,simulation_params.h; params_io_base.cpp
Projection Q6 / solide immergé,projectionAllowUnmaskedImmersedSolid,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,À réserver aux tests/debug.,Autorise explicitement Q6 avec solide immergé non masqué.,simulation_params.h; params_io_base.cpp
Projection Q6 / solide immergé,projectionImmersedSolidFluidFractionThreshold,,double,0.5,"[0,1]",Si projectionEnable=true.,Seuil de fraction fluide pour classer/masquer les cellules solides.,simulation_params.h; params_io_base.cpp
Projection Q6 / solide immergé,projectionImmersedSolidCloseCutFaces,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,,Ferme les faces coupées par le solide immergé dans la projection.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityResponseEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,,Active la réponse à la surcapacité/overfill en domaine fermé.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityReferenceCellMass,,double,0.0,>=0; 0 => inférer,"Si réponse active, il faut pouvoir inférer via ce champ, resamplingTargetCellMass ou inletTargetOccupancy.",Masse de référence par cellule fluide.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityReferenceParticleMass,,double,1.0,>0,Utilisé pour inférer la masse cellule depuis inletTargetOccupancy.,Masse particulaire de référence.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityQ6Eta,,double,0.005,>0,Si réponse active.,Paramètre eta de réduction de la projection Q6 en surcapacité.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityQ6Power,,double,2.0,>0,Si réponse active.,Puissance de la loi de réduction Q6.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityMassRemapEta,,double,0.005,>0,Si réponse active.,Paramètre eta d’atténuation du remap de masse en surcapacité.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityMassRemapPower,,double,2.0,>0,Si réponse active.,Puissance de la loi d’atténuation du remap de masse.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityMassGuardDisableOnOverfill,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,Si réponse active.,Désactive le mass guard lorsque l’overfill est détecté.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityVirialKickEnable,,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Si réponse active.,Active le kick viriel faible lié à la surcapacité.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityVirialBaseK,,double,0.0,>=0,Si réponse active.,Raideur virielle de base.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityVirialGain,,double,20.0,>=0,Si réponse active.,Gain de la composante virielle pilotée par l’overfill.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityVirialEta,,double,0.005,>0,Si réponse active.,Paramètre eta de la loi virielle.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityVirialPower,,double,2.0,>0,Si réponse active.,Puissance de la loi virielle.,simulation_params.h; params_io_base.cpp
Réponse capacité fermée / viriel,closedCapacityVirialKickStrength,,double,1.0,>=0,Si réponse active et kick viriel actif.,Intensité multiplicative du kick viriel.,simulation_params.h; params_io_base.cpp
