Clé utilisable dans params.kv,Champ canonique / cible,Statut,Type,Valeurs possibles / contraintes,Défaut canonique,Signification courte,Catégorie
immersedSolidYMin,immersedSolidYMin,canonique,double,nombre réel fini,0.0,Borne y minimale du rectangle.,Solide immergé — rectangle
injectRandomY,inletRandomizeTangential,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Randomise la coordonnée tangentielle des particules injectées.,Entrées/sorties — injection
inletDensityCells,inletReservoirCells,alias accepté,entier,> 0 si hard_cell_density,1,Épaisseur du réservoir d’entrée en nombre de cellules.,Entrées/sorties — réservoir dur
inletGamma,inletTargetOccupancy,alias accepté,entier,> 0 si hard_cell_density,0,Nombre cible de particules par cellule de réservoir dur.,Entrées/sorties — réservoir dur
inletHardCellThermalRescale,inletHardCellThermalRescale,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Rescale les fluctuations thermiques de la cellule d’entrée.,Entrées/sorties — réservoir dur
inletHardCellVelocityMean,inletHardCellVelocityMean,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Recentre les vitesses injectées pour imposer exactement la moyenne de cellule.,Entrées/sorties — réservoir dur
inletInjectionMode,inletInjectionMode,canonique,enum string,cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density,cuda_recycle,Mode historique de réinjection/recyclage des particules à l’entrée.,Entrées/sorties — injection
inletInjectionSlabCells,inletSlabCells,alias accepté,double,> 0,1.0,Épaisseur de la dalle d’injection en nombre de cellules locales.,Entrées/sorties — injection
inletKBT,inletKBT,canonique,double,négatif => hérite de kBT; sinon >0 recommandé,-1.0,Température cinétique imposée aux particules injectées.,Entrées/sorties — injection
inletProfile,inletVelocitySpatialProfile,alias accepté,enum string,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,uniform,Profil spatial de vitesse/flux imposé sur les entrées.,Entrées/sorties — profil spatial
inletRampEnable,inletVelocityRampEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active une rampe temporelle multiplicative sur les vitesses/flux d’entrée.,Entrées/sorties — rampe
inletRampEndTime,inletVelocityRampEndTime,alias accepté,double,nombre réel fini,0.0,Temps de fin de la rampe d’entrée.,Entrées/sorties — rampe
inletRampFinalFactor,inletVelocityRampFinalFactor,alias accepté,double,nombre réel fini,1.0,Facteur multiplicatif final de vitesse/flux d’entrée.,Entrées/sorties — rampe
inletRampInitialFactor,inletVelocityRampInitialFactor,alias accepté,double,nombre réel fini,0.0,Facteur multiplicatif initial de vitesse/flux d’entrée.,Entrées/sorties — rampe
inletRampProfile,inletVelocityRampProfile,alias accepté,enum string,linear; smoothstep,linear,Loi d’interpolation temporelle de la rampe.,Entrées/sorties — rampe
inletRampStartTime,inletVelocityRampStartTime,alias accepté,double,nombre réel fini,0.0,Temps de début de la rampe d’entrée.,Entrées/sorties — rampe
inletRandomizeTangential,inletRandomizeTangential,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Randomise la coordonnée tangentielle des particules injectées.,Entrées/sorties — injection
inletRandomizeTransverse,inletRandomizeTangential,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Randomise la coordonnée tangentielle des particules injectées.,Entrées/sorties — injection
inletRandomizeY,inletRandomizeTangential,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Randomise la coordonnée tangentielle des particules injectées.,Entrées/sorties — injection
inletReinjectBackflow,inletReinjectBackflow,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Réinjecte les particules traversant une entrée dans le mauvais sens au lieu de les laisser sortir.,Entrées/sorties — injection
inletReservoirCells,inletReservoirCells,canonique,entier,> 0 si hard_cell_density,1,Épaisseur du réservoir d’entrée en nombre de cellules.,Entrées/sorties — réservoir dur
inletReservoirMode,inletReservoirMode,canonique,enum string,recycle; cuda_recycle; thin_slab; hard_cell_density; hard_density; hard; cell_density; default,recycle,Mode de réservoir d’entrée; les alias cuda_recycle/thin_slab sont normalisés vers recycle.,Entrées/sorties — réservoir dur
inletSlabCells,inletSlabCells,canonique,double,> 0,1.0,Épaisseur de la dalle d’injection en nombre de cellules locales.,Entrées/sorties — injection
inletSpatialProfile,inletVelocitySpatialProfile,alias accepté,enum string,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,uniform,Profil spatial de vitesse/flux imposé sur les entrées.,Entrées/sorties — profil spatial
inletTargetN,inletTargetOccupancy,alias accepté,entier,> 0 si hard_cell_density,0,Nombre cible de particules par cellule de réservoir dur.,Entrées/sorties — réservoir dur
inletTargetOccupancy,inletTargetOccupancy,canonique,entier,> 0 si hard_cell_density,0,Nombre cible de particules par cellule de réservoir dur.,Entrées/sorties — réservoir dur
inletThermalNoise,inletThermalNoise,canonique,double,>= 0,1.0,Amplitude du bruit thermique Maxwellien ajouté à l’inlet; 0 donne une vitesse déterministe.,Entrées/sorties — injection
inletUx,inletUx,canonique,double,nombre réel fini,(non stocké),Alias global pour la composante x de vitesse d’entrée.,Entrées/sorties — vitesse
inletUxBottom,inletUxBottom,canonique,double,nombre réel fini,0.0,Composante x de la vitesse prescrite sur l’entrée bottom.,Entrées/sorties — vitesse
inletUxLeft,inletUxLeft,canonique,double,nombre réel fini,0.0,Composante x de la vitesse prescrite sur l’entrée left.,Entrées/sorties — vitesse
inletUxRight,inletUxRight,canonique,double,nombre réel fini,0.0,Composante x de la vitesse prescrite sur l’entrée right.,Entrées/sorties — vitesse
inletUxTop,inletUxTop,canonique,double,nombre réel fini,0.0,Composante x de la vitesse prescrite sur l’entrée top.,Entrées/sorties — vitesse
inletUy,inletUy,canonique,double,nombre réel fini,(non stocké),Alias global pour la composante y de vitesse d’entrée.,Entrées/sorties — vitesse
inletUyBottom,inletUyBottom,canonique,double,nombre réel fini,0.0,Composante y de la vitesse prescrite sur l’entrée bottom.,Entrées/sorties — vitesse
inletUyLeft,inletUyLeft,canonique,double,nombre réel fini,0.0,Composante y de la vitesse prescrite sur l’entrée left.,Entrées/sorties — vitesse
inletUyRight,inletUyRight,canonique,double,nombre réel fini,0.0,Composante y de la vitesse prescrite sur l’entrée right.,Entrées/sorties — vitesse
inletUyTop,inletUyTop,canonique,double,nombre réel fini,0.0,Composante y de la vitesse prescrite sur l’entrée top.,Entrées/sorties — vitesse
inletVelocityRampEnable,inletVelocityRampEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active une rampe temporelle multiplicative sur les vitesses/flux d’entrée.,Entrées/sorties — rampe
inletVelocityRampEndTime,inletVelocityRampEndTime,canonique,double,nombre réel fini,0.0,Temps de fin de la rampe d’entrée.,Entrées/sorties — rampe
inletVelocityRampFinalFactor,inletVelocityRampFinalFactor,canonique,double,nombre réel fini,1.0,Facteur multiplicatif final de vitesse/flux d’entrée.,Entrées/sorties — rampe
inletVelocityRampInitialFactor,inletVelocityRampInitialFactor,canonique,double,nombre réel fini,0.0,Facteur multiplicatif initial de vitesse/flux d’entrée.,Entrées/sorties — rampe
inletVelocityRampProfile,inletVelocityRampProfile,canonique,enum string,linear; smoothstep,linear,Loi d’interpolation temporelle de la rampe.,Entrées/sorties — rampe
inletVelocityRampStartTime,inletVelocityRampStartTime,canonique,double,nombre réel fini,0.0,Temps de début de la rampe d’entrée.,Entrées/sorties — rampe
inletVelocitySpatialProfile,inletVelocitySpatialProfile,canonique,enum string,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,uniform,Profil spatial de vitesse/flux imposé sur les entrées.,Entrées/sorties — profil spatial
inletVelocityWallTaperCells,inletVelocityWallTaperCells,canonique,double,>= 0,2.0,"Largeur du lissage/taper près des murs, exprimée en cellules.",Entrées/sorties — profil spatial
inletVelocityX,inletUx,alias accepté,double,nombre réel fini,(non stocké),Alias global pour la composante x de vitesse d’entrée.,Entrées/sorties — vitesse
inletVelocityY,inletUy,alias accepté,double,nombre réel fini,(non stocké),Alias global pour la composante y de vitesse d’entrée.,Entrées/sorties — vitesse
inletWallTaperCells,inletVelocityWallTaperCells,alias accepté,double,>= 0,2.0,"Largeur du lissage/taper près des murs, exprimée en cellules.",Entrées/sorties — profil spatial
inputState,inputState,canonique,chemin,chaîne non vide,(obligatoire),Fichier d’état initial .smpcd lu par l’exécutable.,I/O et exécution
kBT,kBT,canonique,double,>=0 usuel; doit être >0 quand hérité par thermostat/paroi/inlet bruité,0.0,Température cinétique globale de référence.,Thermostat
keepMeanFlow,keepMeanFlowEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active un correcteur global de vitesse moyenne après SRC/Q6/thermostat.,Forçage et contrôle d’écoulement
keepMeanFlowEnable,keepMeanFlowEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active un correcteur global de vitesse moyenne après SRC/Q6/thermostat.,Forçage et contrôle d’écoulement
Lx,Lx,canonique,double,> 0,1.0,Longueur du domaine numérique en x.,Domaine et grille
Ly,Ly,canonique,double,> 0,1.0,Longueur du domaine numérique en y.,Domaine et grille
meanFlowUx,targetMeanUx,alias accepté,double,nombre réel fini,0.0,Vitesse moyenne cible en x.,Forçage et contrôle d’écoulement
meanFlowUy,targetMeanUy,alias accepté,double,nombre réel fini,0.0,Vitesse moyenne cible en y.,Forçage et contrôle d’écoulement
nSteps,nSteps,canonique,entier,>= 0,1000,Nombre de pas de temps simulés.,Temps et collision SRC
numThreads,numThreads,canonique,entier,entier >= 0; 0 laisse OpenMP décider,0,Force omp_set_num_threads(numThreads).,I/O et exécution
Nx,Nx,canonique,entier,> 0,32,Nombre de cellules MPCD/projection en x.,Domaine et grille
Ny,Ny,canonique,entier,> 0,32,Nombre de cellules MPCD/projection en y.,Domaine et grille
openBoundaryOutletFeedbackGain,openBoundaryOutletFeedbackGain,canonique,double,"[0,1]",0.0,Gain du feedback global outlet-only sur le déséquilibre de flux.,Entrées/sorties — sortie Q6
openBoundaryOutletHybridBlend,openBoundaryOutletHybridBlend,canonique,double,"[0,1]",0.0,Mélange entre profil local Neumann et profil équilibré.,Entrées/sorties — sortie Q6
openBoundaryOutletMassFeedbackGain,openBoundaryOutletFeedbackGain,alias accepté,double,"[0,1]",0.0,Gain du feedback global outlet-only sur le déséquilibre de flux.,Entrées/sorties — sortie Q6
openBoundaryOutletMode,openBoundaryOutletMode,canonique,enum string,balanced_flux; prescribed_flux; balanced; prescribed; dirichlet; neumann; free; zero_gradient; zero_normal_gradient; hybrid; neumann_feedback; hybrid_feedback,balanced_flux,Politique de flux de sortie pour la projection Q6 open-boundary.,Entrées/sorties — sortie Q6
openBoundarySegmentCount,openBoundarySegmentCount,canonique,entier,0 si désactivé; 1..16 si activé,0,Nombre de segments ouverts définis.,Entrées/sorties — segments
openBoundarySegmentK,openBoundarySegmentK,groupe dynamique,record,"face mode sMin sMax ux uy type mass; face={left,right,bottom,top}; mode=inlet/input/outlet/output/open; 0<=sMin<sMax<=1; mass>0",(aucun),Déclaration d’un segment relatif sur une face solide/specular/bounceback.,Entrées/sorties — segments
openBoundarySegmentsEnable,openBoundarySegmentsEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active les segments compacts inlet/outlet sur des faces autrement wall-like.,Entrées/sorties — segments
openBoundaryVelocityProfile,inletVelocitySpatialProfile,alias accepté,enum string,uniform; poiseuille_y; poiseuille_y_mean; poiseuille_y_max; flat_taper_y; flat_taper_y_mean,uniform,Profil spatial de vitesse/flux imposé sur les entrées.,Entrées/sorties — profil spatial
openBoundaryVelocityWallTaperCells,inletVelocityWallTaperCells,alias accepté,double,>= 0,2.0,"Largeur du lissage/taper près des murs, exprimée en cellules.",Entrées/sorties — profil spatial
openOutletBoundaryMode,openBoundaryOutletMode,alias accepté,enum string,balanced_flux; prescribed_flux; balanced; prescribed; dirichlet; neumann; free; zero_gradient; zero_normal_gradient; hybrid; neumann_feedback; hybrid_feedback,balanced_flux,Politique de flux de sortie pour la projection Q6 open-boundary.,Entrées/sorties — sortie Q6
openOutletFeedbackGain,openBoundaryOutletFeedbackGain,alias accepté,double,"[0,1]",0.0,Gain du feedback global outlet-only sur le déséquilibre de flux.,Entrées/sorties — sortie Q6
openOutletHybridBlend,openBoundaryOutletHybridBlend,alias accepté,double,"[0,1]",0.0,Mélange entre profil local Neumann et profil équilibré.,Entrées/sorties — sortie Q6
outletBoundaryMode,openBoundaryOutletMode,alias accepté,enum string,balanced_flux; prescribed_flux; balanced; prescribed; dirichlet; neumann; free; zero_gradient; zero_normal_gradient; hybrid; neumann_feedback; hybrid_feedback,balanced_flux,Politique de flux de sortie pour la projection Q6 open-boundary.,Entrées/sorties — sortie Q6
outletFeedbackGain,openBoundaryOutletFeedbackGain,alias accepté,double,"[0,1]",0.0,Gain du feedback global outlet-only sur le déséquilibre de flux.,Entrées/sorties — sortie Q6
outletHybridBlend,openBoundaryOutletHybridBlend,alias accepté,double,"[0,1]",0.0,Mélange entre profil local Neumann et profil équilibré.,Entrées/sorties — sortie Q6
outputDir,outputDir,canonique,chemin,chaîne non vide,run_base,"Répertoire de sortie du run: summaries, dumps et fichiers associés.",I/O et exécution
projectionAllowUnmaskedImmersedSolid,projectionAllowUnmaskedImmersedSolid,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Autorise explicitement Q6 avec solide immergé non masqué.,Projection Q6 / solide immergé
projectionEnable,projectionEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active la projection incompressible Q6.,Projection Q6 / elliptique
projectionImmersedSolidCloseCutFaces,projectionImmersedSolidCloseCutFaces,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Ferme les faces coupées par le solide immergé dans la projection.,Projection Q6 / solide immergé
projectionImmersedSolidFluidFractionThreshold,projectionImmersedSolidFluidFractionThreshold,canonique,double,"[0,1]",0.5,Seuil de fraction fluide pour classer/masquer les cellules solides.,Projection Q6 / solide immergé
projectionImmersedSolidMaskEnable,projectionImmersedSolidMaskEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active le masque solide immergé dans la projection.,Projection Q6 / solide immergé
projectionMaxIterations,projectionMaxIterations,canonique,entier,>=0,300,Nombre maximal d’itérations CG.,Projection Q6 / elliptique
projectionMomentumCorrectionEnable,projectionMomentumCorrectionEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Active la correction globale de quantité de mouvement après projection.,Projection Q6 / elliptique
projectionOperator,projectionOperator,canonique,enum string,periodic_fv_cg; channel_fv_cg; auto_fv_cg; elliptic_fv_cg,periodic_fv_cg,Opérateur elliptique/div-grad utilisé par la projection.,Projection Q6 / elliptique
projectionStrength,q6ProjectionStrength,alias accepté,double,"[0,1]",1.0,Sous-relaxation de la correction fluide-fluide Q6.,Projection Q6 / elliptique
projectionTolerance,projectionTolerance,canonique,double,>0,1.0e-10,Tolérance relative/numérique du solveur de projection.,Projection Q6 / elliptique
q6ProjectionStrength,q6ProjectionStrength,canonique,double,"[0,1]",1.0,Sous-relaxation de la correction fluide-fluide Q6.,Projection Q6 / elliptique
q6q9OutletBoundaryMode,openBoundaryOutletMode,alias accepté,enum string,balanced_flux; prescribed_flux; balanced; prescribed; dirichlet; neumann; free; zero_gradient; zero_normal_gradient; hybrid; neumann_feedback; hybrid_feedback,balanced_flux,Politique de flux de sortie pour la projection Q6 open-boundary.,Entrées/sorties — sortie Q6
randomRotationSign,randomRotationSign,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Active le signe aléatoire de la rotation collisionnelle.,Temps et collision SRC
reinjectBackflow,inletReinjectBackflow,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Réinjecte les particules traversant une entrée dans le mauvais sens au lieu de les laisser sortir.,Entrées/sorties — injection
resamplingActiveFluidFractionThreshold,resamplingActiveFluidFractionThreshold,canonique,double,"[0,1]",0.5,Seuil de fraction fluide active pour considérer une cellule éligible.,Resampling pondéré — masque wet
resamplingEnable,resamplingEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Switch maître de toutes les opérations de rôle/changement de population.,Resampling pondéré — switches
resamplingExtractionEnable,resamplingExtractionEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active l’extraction Fluid -> Inactive depuis cellules riches.,Resampling pondéré — switches
resamplingInsertionEnable,resamplingInsertionEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active l’insertion Inactive -> Fluid vers cellules pauvres.,Resampling pondéré — switches
resamplingLatentActivationEnable,resamplingLatentActivationEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active la conversion Latent -> Fluid pour remplir les cellules pauvres/vides.,Resampling pondéré — latent
resamplingLatentActivationMaxPerCell,resamplingLatentActivationMaxPerCell,canonique,entier,>0 si activation latente active,1,Nombre maximal d’activations latentes par cellule.,Resampling pondéré — latent
resamplingLatentActivationParticleMass,resamplingLatentActivationParticleMass,canonique,double,>=0; 0 => targetCellMass/maxPerCell,0.0,Masse attribuée aux particules activées depuis latent.,Resampling pondéré — latent
