Variable environnement,Catégorie,Statut 0286,Type attendu,Défaut implicite,Effet / rôle,Remarques,Sources repérées
MPCD_CUDA_RESAMPLING_POPULATION_GUARD_0299_SOLID_HALO_CELLS,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,0,Épaisseur exclue près des solides immergés.,0 par défaut; peut être augmenté pour tests prudents.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,booléen/env truthy,false/off,Active le diagnostic post-SRC de support faible/vide sur grille physique non shiftée.,Écrit/complète cuda_resampling_adaptive_flag_0304.csv; diagnostic passif.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304_EVERY,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,entier,1 à 20 selon script,Cadence du diagnostic flag 0304.,"Plus la cadence est faible, plus la détection low-N/empty est fréquente.",doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304_TRIGGER_NMIN,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,entier,6 dans les scripts de diagnostic,Seuil de population cellulaire low-N utilisé par le flag.,Ne déclenche pas de correction avant scheduler adaptatif futur.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_ADAPTIVE_FLAG_0304_TRIGGER_EMPTY,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0304,booléen/env truthy,true dans les diagnostics,Active la détection des cellules humides vides.,Utile comme brique commune pour guard adaptatif ou refill futur.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_GEOMETRY_DIAG_0305_HIGH_U,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0305,réel,1.0,Seuil de vitesse cellulaire élevée pour la classification géométrique 0305.,Classe les cellules bulk/wall/solid/open/corner adjacent.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_OUTLIER_0306_U_THRESHOLD,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0306,réel,1.0,Seuil |U| pour déclarer une cellule outlier dans les diagnostics 0306.,Alimente cuda_resampling_outlier_diagnostics_0306_worst_cells.csv.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_SPLIT_SAFETY_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,booléen/env truthy,true dans scripts resampling nominal 0308+,Active la prévention des cascades de split créant des particules de masse dégénérée.,Doit rester activé avec le resampling CUDA nominal.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_SPLIT_PREFER_MAX_MASS_DONOR_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,booléen/env truthy,true,Choisit préférentiellement le donneur le plus massif pour un split.,Réduit le risque de resplit de particules déjà allégées.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_SPLIT_DONOR_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,réel,0.5,Masse minimale du donneur pour autoriser un split.,Empêche les splits issus de particules trop légères.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_SPLIT_NEW_PARTICLE_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307; nominal 0308,réel,0.25,Masse minimale de la particule créée par split et du donneur après split.,Valeur validée pour couper les outliers de masse/vitesse.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_SOLID_ADJACENT_SPLIT_MODE_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,"entier/enum 0 normal, 1 cautious, 2 off",0 nominal,Contrôle le split dans les cellules solid-adjacent.,Le mode normal avec split-safety suffit pour le nominal; cautious/off restent diagnostiques.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_SOLID_ADJACENT_DONOR_MIN_MASS_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,réel,1.0 en mode cautious,Masse donneur minimale renforcée pour les cellules solid-adjacent.,Utilisé en mode solid_cautious; non nécessaire dans le mode nominal 0308.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_RESAMPLING_TINY_MASS_THRESHOLD_0307,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0307,réel,0.1 ou valeur script,Seuil de diagnostic des particules ou splits de masse très faible.,Produit les compteurs splitFromMassBelow*_0307.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INACTIVE_TAIL_POOL_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,booléen/env truthy,true/on,Active le fast path de collecte de slots inactifs en queue de tableau.,Fallback exact conservé par défaut si la fenêtre ne suffit pas.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INACTIVE_TAIL_POOL_MIN_SCAN_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,entier,8192,Taille minimale de fenêtre scannée dans la queue inactive.,Paramètre de performance; ne change pas la physique.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INACTIVE_TAIL_POOL_MAX_SCAN_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,entier,262144,Taille maximale de fenêtre scannée dans la queue inactive.,Borne le coût du fast path avant fallback.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INACTIVE_TAIL_POOL_SCAN_MULT_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,réel/entier,4,Facteur multiplicatif entre besoin estimé de slots et fenêtre scannée.,Augmenter si le fallback complet se déclenche trop souvent.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INACTIVE_TAIL_POOL_NO_FALLBACK_0313,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",ajout 0313,booléen/env truthy,false/off,Désactive le fallback complet si activé.,À réserver aux audits; le nominal garde le fallback exact.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
INACTIVE_SLOTS,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",script/demo/audit,alias script utilisateur,selon script; éviter les millions,Nombre de slots Inactive préalloués dans les scripts et audits.,N’est pas une clé params.kv directe universelle; transmis par les générateurs d’état/scripts.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
DUMP_ROLE_FILTER,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",script 0314,alias script utilisateur,fluid dans scripts visuels 0309+,Alias script vers dumpRoleFilter.,fluid produit des dumps compacts de visualisation; all reste restart-compatible.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
SUMMARY_ROLE_FILTER,"CUDA resampling post-SRC — diagnostics, split-safety et optimisation inactive",script 0314,alias script utilisateur,fluid dans scripts visuels 0309+,Alias script vers summaryRoleFilter.,fluid évite de résumer inutilement les slots Inactive.,doc/GPU_RESAMPLING_CUDA_0304..0314; scripts/run_cuda_resampling_*; src/cuda_resampling_*; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318,Sécurité VK / chemin wall+circle résident,existant 0318; quarantainé 0331,booléen/env truthy,false/off,Demande l’ancien chemin résident combiné wall+circle 0318.,Chemin conservé uniquement pour diagnostic; ne s’active plus sans le garde UNSAFE. Le chemin validé par défaut utilise le resident classic safe/no0318.,src/src_mpcd_base.cpp; src/cuda_streaming_wall_simple_0246.cu; doc/README_safe_no0318*
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318_UNSAFE_ENABLE,Sécurité VK / chemin wall+circle résident,ajout 0331,booléen/env truthy,false/off,Garde explicite pour autoriser le chemin 0318 unsafe.,Doit rester à 0 pour les runs de production/validation. À 1 seulement pour reproduire l’ancien chemin fautif ou diagnostiquer.,src/src_mpcd_base.cpp; doc/README_safe_no0318*
SRC_GPU_WALL_CIRCLE_RESIDENT_0318,Alias script / sécurité VK,ajout scripts 0331,booléen/env truthy,false/off,Alias de script pour documenter/désactiver le chemin 0318.,Ne remplace pas le garde UNSAFE. Préférer MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318=0 dans les scripts.,scripts/run_*0331*; scripts/run_vk_periodic_cylinder_oracle_cuda.sh
SRC_GPU_WALL_FAST_DIAG_0320,Diagnostics rapides wall CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides wall.,Désactivé dans les oracles lorsque l’on veut des hits complets. Peut être activé pour réduire les retours diagnostics.,scripts/run_vk_periodic_cylinder_oracle_cuda.sh; src/cuda_streaming_wall_simple_0246.cu
SRC_GPU_IMMERSED_CIRCLE_FAST_DIAG_0330,Diagnostics rapides immersed circle CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides du cylindre.,À 0 pour valider les hits cylindre complets; à 1 pour réduire le coût diagnostic si disponible.,scripts/run_vk_periodic_cylinder_oracle_cuda.sh; src/cuda_immersed_circle_0284.cu
MPCD_CUDA_IMMERSED_CIRCLE_FAST_DIAGNOSTICS_0330,Diagnostics rapides immersed circle CUDA,ajout 0330/0331,booléen/env truthy,false/off,Active un retour diagnostic plus léger pour le cylindre CUDA.,N’affecte pas la physique; seulement les compteurs/diagnostics. Utile pour benchmark mais à désactiver pour oracle hits complets.,src/cuda_immersed_circle_0284.cu; scripts/run_vk_periodic_cylinder_oracle_cuda.sh
MPCD_CUDA_CLASSIC_SRC_PERIODIC_RESIDENT_0260,SRC classic CUDA résident,existant; confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le chemin classic SRC CUDA résident périodique.,"Depuis 0334a, il peut rester compatible avec immersed circle; ne doit pas forcer un fallback CPU en présence d’un cylindre.",src/src_mpcd_base.cpp; src/cuda_streaming_periodic_0245.cu; doc/README_full_periodic_circle_resident_0334a.md
MPCD_CUDA_STREAMING_PERIODIC_0245,Streaming CUDA résident,confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le streaming périodique CUDA.,0334a : supporte le cas full-periodic + immersed circle sans téléchargement hôte par step.,src/cuda_streaming_periodic_0245.cu; doc/README_full_periodic_circle_resident_0334a.md
MPCD_CUDA_IMMERSED_CIRCLE_0284,Obstacle immersed circle CUDA,confirmé 0334a,booléen/env truthy,false/off sauf scripts VK,Active le traitement CUDA du cylindre immergé.,0334a : peut consommer l’état CUDA résident partagé et éviter les upload/download particulaires à chaque step.,src/cuda_immersed_circle_0284.cu; doc/README_full_periodic_circle_resident_0334a.md
MPCD_CUDA_IMMERSED_CIRCLE_0284_DOWNLOAD_ALL,Obstacle immersed circle CUDA,existant; à éviter en production,booléen/env truthy,false/off,Force un téléchargement complet après le cylindre 0284.,Très coûteux; utile seulement pour diagnostic comparatif. Incompatible avec l’objectif chemin résident.,src/cuda_immersed_circle_0284.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SHARED_0251,État particulaire CUDA partagé,existant; réutilisé 0334/0337,booléen/env truthy,false/off sauf chemin résident,Active/réutilise l’état particulaire CUDA partagé pour les étapes SRC résidentes.,Base du chemin resident et du live renderer CUDA; la fraîcheur après resampling doit être traitée avec prudence.,src/cuda_shared_particle_state_0251.cpp; src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu
MPCD_ENABLE_LIVE_VIS,Build option live visualization,ajout 0335,booléen/env truthy,false/off,Compile le support GLFW/OpenGL de visualisation live.,"Flag de build. Si absent, le module livevis reste no-op et le build standard ne dépend pas de GLFW/OpenGL.",scripts/build_src_mpcd_cuda_0315b.sh; src/live_visualization_0335.cpp; doc/README_live_visualization_0335a.md
SRC_LIVE_VIS_ENABLE,Live visualization runtime,ajout 0335,booléen/env truthy,false/off; 1 dans scripts livevis 0337,Active la fenêtre livevis au runtime.,N’affecte pas les builds/runs production si absent. Les scripts 0337 livevis l’activent par défaut.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh; doc/README_live_visualization_0335a.md
SRC_LIVE_VIS_FIELD,Live visualization runtime,ajout 0335/0337,string: ux|uy|speed|vorticity|mass|density,ux dans code; dépend du script 0337,Choisit le champ rendu dans la fenêtre live.,"Par défaut scripts: VK/TG=vorticity, Poiseuille=ux, step/box=speed.",src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_EVERY,Live visualization runtime,ajout 0335,entier > 0,10 code; 20 scripts 0337,Cadence d’affichage en nombre de steps.,Augmenter pour réduire le coût d’affichage.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_NX,Live visualization runtime,ajout 0335/0337,entier >= 16,300 scripts 0337,Résolution x de la grille/champ live.,Plus élevé = plus fin mais plus coûteux. 300×80 validé comme compromis.,src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_NY,Live visualization runtime,ajout 0335/0337,entier >= 16,80 scripts 0337,Résolution y de la grille/champ live.,Plus élevé = plus fin mais plus coûteux. 300×80 validé comme compromis.,src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_ALPHA,Live visualization runtime,ajout 0335c,"double [0,1]",0.08 scripts 0337,Lissage temporel du rendu CPU fallback.,Le chemin CUDA field rend directement une image compacte; alpha est surtout utile au fallback CPU.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_CLIP,Live visualization runtime,ajout 0335c,double; <=0 auto,-1 auto,Échelle de saturation/clip couleur.,Valeur fixe utile pour comparer plusieurs runs; auto utile pour inspection rapide.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_QUANTILE,Live visualization runtime,ajout 0335c,"double dans (0,1]",0.995,Quantile d’échelle auto du rendu CPU fallback.,Limite l’effet du bruit particulaire et des outliers.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_GAIN,Live visualization runtime,ajout 0335c/0337,double > 0,1.0,Gain visuel appliqué à la colormap.,Réduire si l’image est saturée rouge/bleu; augmenter pour renforcer le contraste.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_SMOOTH_PASSES,Live visualization runtime,ajout 0335c/0337,entier >= 0,1 scripts 0337,Nombre de passes de lissage spatial du champ live.,Vorticité: souvent 1 ou 2; champs vitesse: 0 ou 1.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_WINDOW_SCALE,Live visualization runtime,ajout 0335,entier >= 1,1,Facteur d’échelle de la fenêtre OpenGL.,N’affecte pas la physique ni la grille de calcul.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_VSYNC,Live visualization runtime,ajout 0335,booléen/int,0 scripts 0337,Contrôle vsync de la fenêtre GLFW.,0 recommandé pour ne pas brider la simulation; 1 utile si affichage trop rapide.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_LOG_SOURCE,Live visualization runtime,ajout 0335c; amélioré 0337d,booléen/env truthy,0,Affiche la source de rendu livevis.,"Depuis 0337d, le statut se réécrit sur la même ligne au lieu d’empiler les logs.",src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_CUDA_FIELD,Live visualization CUDA field renderer,ajout 0337a,booléen/env truthy,0 code; 1 scripts 0337,Active le rendu de champ sur GPU avec téléchargement RGBA compact.,Chemin recommandé pour visualiser resampling sans host mirror lent. Transfert typique 300×80×4 octets/frame.,include/cuda_live_field_0337.h; src/cuda_live_field_0337.cu; src/main_src_mpcd_base.cpp
SRC_LIVE_VIS_CUDA_SNAPSHOT,Live visualization snapshot expérimental,ajout 0336a; gardé expérimental,booléen/env truthy,0,Tente un snapshot compact des particules depuis l’état CUDA partagé.,Non fiable après resampling dans les tests 0336a; ne pas utiliser par défaut.,src/live_visualization_0335.cpp; src/cuda_shared_particle_state_0251.cpp; doc/README_livevis_cuda_field_0337a.md
SRC_LIVE_VIS_RESAMPLING_HOST_MIRROR,Live visualization fallback resampling,ajout 0335d,booléen/env truthy,0 scripts 0337; 1 fallback manuel,Force une voie hôte visible pour le resampling.,Fiable mais lente. À utiliser si CUDA_FIELD échoue ou pour debug.,scripts/run_vk_full_periodic_livevis_0335a.sh; src/live_visualization_0335.cpp
SRC_LIVE_VIS_FORCE_HOST_MIRROR,Live visualization fallback/debug,ajout 0335c,booléen/env truthy,0,Force la visualisation à utiliser un miroir hôte.,Debug uniquement; plus lent que CUDA_FIELD.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh
