Variable environnement,Catégorie,Statut 0286,Type attendu,Défaut implicite,Effet / rôle,Remarques,Sources repérées
MPCD_CUDA_STREAMING_PISTON_0247B_THREADS,CUDA SRC classic — piston/mobile wall,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_boundary_cell_moments_0250.sh; scripts/run_cuda_boundary_stack_0248.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_inlet_outlet_fullface_0249a.sh; scripts/run_cuda_inlet_outlet_segmented_0249b.sh; scripts/run_cuda_persistent_cell_state_0251.sh; ...
MPCD_CUDA_STREAMING_PERIODIC_0245_DOWNLOAD_ALL,CUDA SRC classic — périodique,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0260.md; scripts/run_cuda_classic_src_periodic_resident_0260.sh; scripts/run_cuda_classic_src_solid_resident_0262.sh; scripts/run_cuda_classic_src_wall_resident_0261.sh; scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; ...
MPCD_CUDA_STREAMING_PERIODIC_0245_THREADS,CUDA SRC classic — périodique,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0245.md; scripts/run_cuda_boundary_cell_moments_0250.sh; scripts/run_cuda_boundary_stack_0248.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_classic_src_periodic_resident_0260.sh; scripts/run_cuda_inlet_outlet_fullface_0249a.sh; ...
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0270_DISABLE_BOUNDARY_SKIP,CUDA SRC classic — wall-simple,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0270_WALL_RESIDENT_BOUNDARY_SKIP.md; src/src_mpcd_base.cpp
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0271_DISABLE_FAST_DIAGNOSTICS,CUDA SRC classic — wall-simple,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md; src/cuda_streaming_wall_simple_0246.cu
MPCD_CUDA_STREAMING_WALL_SIMPLE_0246_DOWNLOAD_ALL,CUDA SRC classic — wall-simple,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0261.md; scripts/run_cuda_classic_src_solid_resident_0262.sh; scripts/run_cuda_classic_src_wall_resident_0261.sh; scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; scripts/run_cuda_persistent_src_thermostat_io_fullface_0279.sh; ...
MPCD_CUDA_STREAMING_WALL_SIMPLE_0246_THREADS,CUDA SRC classic — wall-simple,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_boundary_cell_moments_0250.sh; scripts/run_cuda_boundary_stack_0248.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_classic_src_solid_resident_0262.sh; scripts/run_cuda_classic_src_wall_resident_0261.sh; scripts/run_cuda_inlet_outlet_fullface_0249a.sh; ...
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_DEVICE_ROTATION_0272,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0272_COLLISION_OVERHEAD.md; src/cuda_persistent_mpcd_step.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_EXPLICIT_GAMMA_ROLE_FASTPATH_0273,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0273_COLLISION_WRAPPER_OVERHEAD.md; scripts/run_cuda_classic_src_resident_perf_0273.sh; scripts/run_cuda_classic_src_resident_perf_0274.sh; src/src_collision.cpp
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_FUSED_STREAM_DEPOSIT_0274,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; doc/GPU_PATCH_0275_CUDA_PRIMARY_BACKEND.md; scripts/run_cuda_classic_src_resident_perf_0274.sh; src/src_collision.cpp; src/src_mpcd_base.cpp
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_LAZY_KERNEL_CHECK_0273,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0273_COLLISION_WRAPPER_OVERHEAD.md; src/cuda_persistent_mpcd_step.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_SKIP_FINAL_SYNC_0272,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0272_COLLISION_OVERHEAD.md; src/cuda_persistent_mpcd_step.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_SKIP_SETUP_SYNC_0273,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0273_COLLISION_WRAPPER_OVERHEAD.md; src/cuda_persistent_mpcd_step.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_DISABLE_SKIP_WORKSPACE_DOWNLOAD_0272,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0272_COLLISION_OVERHEAD.md; src/cuda_persistent_mpcd_step.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_LAZY_KERNEL_CHECK_0273,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0273_COLLISION_WRAPPER_OVERHEAD.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_resident_perf_0273.sh; scripts/run_cuda_classic_src_resident_perf_0274.sh; scripts/run_src_mpcd_cuda_primary_0275.sh; scripts/src_gpu_demo_common_0283.sh; ...
MPCD_CUDA_PERSISTENT_SRC_COLLISION_MINIMAL_DOWNLOAD_0257,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0257.md; doc/GPU_PATCH_0261.md; scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_classic_src_periodic_resident_0260.sh; ...
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SKIP_FINAL_SYNC_0272,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0272_COLLISION_OVERHEAD.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_resident_perf_0272.sh; scripts/run_cuda_classic_src_resident_perf_0273.sh; scripts/run_cuda_classic_src_resident_perf_0274.sh; scripts/run_src_mpcd_cuda_primary_0275.sh; ...
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SKIP_SETUP_SYNC_0273,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0273_COLLISION_WRAPPER_OVERHEAD.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_resident_perf_0273.sh; scripts/run_cuda_classic_src_resident_perf_0274.sh; scripts/run_src_mpcd_cuda_primary_0275.sh; scripts/src_gpu_demo_common_0283.sh; ...
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SKIP_WORKSPACE_DOWNLOAD_0272,CUDA collision SRC,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0272B_COLLISION_CELLCOUNT_FIX.md; doc/GPU_PATCH_0272_COLLISION_OVERHEAD.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_resident_perf_0272.sh; scripts/run_cuda_classic_src_resident_perf_0273.sh; scripts/run_cuda_classic_src_resident_perf_0274.sh; ...
