implementation,kind,current_status,runtime_control,effective_dependencies,current_x12_usage,code_state,evidence
x10o,paroi thermique Q6 continue,socle production x12,MPCD_X10O_Q6_THERMAL_INTERFACE_WALL + mass/sigmas/maxCells,r>=1; champ hydro Q6 projeté valide du même pas,ON,"Enveloppe min(maxCells*h,C*dt*sqrt(kBT/m)); sert de base au Q2/CIC/x10u/x10v/x12a.","src/cuda_q6_resident_0400.cu:17752-17757,17968-17994; x12d:184,195-197"
x10p+x10q,initial-overlap + fallback large recherche,actif production,MPCD_X10P_INITIAL_OVERLAP_RESOLUTION; aucun flag x10q,x10p effectif sous x10o; x10u requiert x10p,ON,3x3 normal; fallback x10q 7x7 seulement pour initial-overlap sans segment trouvé.,"src/cuda_q6_resident_0400.cu:17815-17817,17867-17871,8003-8076; x12d:190"
x10r/x10s/x10t,ablations cinématiques endpoint,"code conservé, OFF production","MPCD_X10R_*, MPCD_X10S_*, MPCD_X10T_*",x10o; mutuellement exclusifs; Q2 exige les trois OFF,OFF,x10r full-vector; x10s projection normale segment; x10t tangentiel rigide.,"src/cuda_q6_resident_0400.cu:17755-17802,17852-17865; x12d:191-193"
x10cic,alpha cinétique CIC dédié,actif production x12,MPCD_X10_KINETIC_INTERFACE_CIC,réflexion cinétique Q6; phase-A referenceCellMass>0,ON,Dépôt CIC fusionné dans le passage total-A; filtre cellule séparé; alpha x6c Q6/capillaire inchangé. Toujours orchestré depuis apply_independent_masked_species_q6_0493w5.,"src/cuda_q6_resident_0400.cu:2447-2452,10960-11028,18108-18138,22329-22345"
x10biq (flag QUADRATIC),reconstruction interface vrai Q2,actif production x12,MPCD_X10_KINETIC_INTERFACE_QUADRATIC,x10o + CIC; x10r/s/t OFF,ON,"Biquadratique tensoriel 3x3, 9 alpha loads/patch, pas de buffer/kernel/global pass ajouté.","src/cuda_q6_resident_0400.cu:6450-6458,17852-17865; x12d:187"
x10u,relocalisation one-for-one,actif production x12,MPCD_X10_KINETIC_INTERFACE_ONE_FOR_ONE,Q2 + x10p,ON,Position-mirror de la même particule; masse/vitesse inchangées par x10u; pas de split/merge.,"src/cuda_q6_resident_0400.cu:17866-17872,8170-8390"
x10v,swap local conservatif,actif production x12,MPCD_X10_KINETIC_INTERFACE_ONE_FOR_ONE_SWAP,x10u,ON,Swap vectoriel complet avec candidat intérieur de même masse; 1 byte/particle + 2 kernels; conservation paire P/K pour masses égales.,"src/cuda_q6_resident_0400.cu:8417-8498,18519-18560"
x10w,limiter thermique pairwise conservative,implémenté mais OFF production x12,MPCD_X10_KINETIC_INTERFACE_THERMAL_PHASE_LIMITER + CHI_ON/FULL/ETA_CAP,x10v + x10o + Q2; exclusif x12a,OFF,"Redistribution pré-stream locale par paire, conservative P/K; ancien virtual-position limiter explicitement passé à 0.","src/cuda_q6_resident_0400.cu:17881-17918,18002-18041,18505-18510"
x10x/x10y,outillage de campagne,scripts/analyzers uniquement; pas de nouveau mode C++ distinct,réutilisent les flags x10o/CIC/Q2/u/v,selon runner,historique de qualification,x10x sweep C thermique; x10y analyse loi taille-température.,scripts/run_0493x10x_thermal_sigmas_sweep.sh; scripts/analyze_0493x10y_size_temperature_law.py
x11a,validation Young-Laplace,outillage de validation; pas de nouvelle physique C++,runners/analyzers x11a,chaîne capillaire existante,supplanté comme calibrateur scalaire par x12yl,"Mesures Young-Laplace historiques, dont paired sigma0.",scripts/run_0493x11a_young_laplace_validation.sh; scripts/analyze_0493x11a_young_laplace_paired.py
x11b,validation ondes capillaires,outillage de validation dynamique; pas de nouvelle physique C++,runner/analyzers x11b,chaîne capillaire existante,base méthodologique de x12cal,Mesure dispersion/fréquence des modes capillaires.,scripts/run_0493x11b_capillary_wave_validation.sh; scripts/analyze_0493x11b_capillary_wave_earlyfit.py
x11c,support diagnostic C++ + flag runner,"intégré, observation-only",MPCD_X11C_FORCE_X9E_SIGMA0 dans runner; relay vers x9e,staticDropDiagnosticsThisStep x9e,utilisé par x12yl sigma=0 apparié,Construit p3 pour diagnostic sigma0 sans appliquer de potentiel capillaire si sigma=0.,src/cuda_q6_resident_0400.cu:19752-19760; scripts/run_0493x9s_splash.sh:298-301
x12a,physique runtime: refroidissement thermique local,actif production x12,MPCD_X12A_LOCAL_THERMAL_COOLING + MPCD_X12A_LOCAL_THERMAL_RADIUS_CELLS,x10v + x10o + CIC + vrai Q2; exclusif x10w,ON splash/JFM/calibrateurs actuels,"fT=min(1,(Lloc/Rc)^2), champ float/cellule; réduit enveloppe interface et cible thermostat locale.","src/cuda_q6_resident_0400.cu:17883-17907,7033-7271,18184-18212,23097-23108"
x12b/x12c/x12d,runners benchmark splash/JFM,pas de nouvelle physique C++; composition/qualification de la chaîne existante,runners,chaîne x10o+CIC+Q2+x10u+x10v+x10p+x12a,x12d = cas JFM de mesure courant,"x12d verrouille minRadius=4, r=1, B=vacuum, contact angle 90, x10l=1.","scripts/run_0493x12b_obstacle_JFM_D320_Re649_We514.sh; scripts/run_0493x12c_obstacle_JFM_D320_Re649_We514_compactY.sh; scripts/run_0493x12d_jfm524_measurement_case.sh:59-64,179-199,327-333"
x12cal,calibrateur dynamique,outillage courant; pas de nouvelle physique C++,PROFILE/MODES/SIGMA_DECLARED + chaîne production,src-q6-g-f; chaîne x10o+CIC+Q2+u+v+x12a,mesure dispersion/propriété dynamique des ondes,Le script se décrit comme calibrateur sigma_eff dynamique via omega^2; minRadius par défaut 3.,"scripts/run_0493x12cal_capillary_calibrator.sh:5-18,82,329-348"
x12yl,calibrateur mécanique/statique,outillage courant; définition scalaire mécanique de sigma_eff,PROFILE/RADII/SIGMA_DECLARED + paires sigma/sigma0,chaîne production; baseline x11c/x9e sigma0,calibration Young-Laplace courante,dp_cap=p(sigma)-p(0)=sigma_eff*<kappa>_active; la courbure mesurée active est utilisée. Cette définition doit rester distincte de la dispersion x12cal.,"scripts/analyze_0493x12yl_young_laplace_calibrator.py:1-14; scripts/run_0493x12yl_young_laplace_calibrator.sh:10-20,60,94-115"
